State,allArrests,weaponArrests
AL, ,
, ,
,"13,577",279
,"176,153","1,490"
AK,,
,,
,"5,470",123
,"36,234",532
AZ,,
,,
,"56,492",547
,"272,281","2,911"
AR,,
,,
,"18,386",252
,"214,854","2,399"
CA,,
,,
,"258,091","7,260"
,"1,494,099","22,738"
CO,,
,,
,"41,895",575
,"220,383","2,275"
CT,,
,,
,"24,206",437
,"153,212","1,657"
DE,,
,,
,"6,895",90
,"38,212",458
DC,,
,,
,,
,,
FL,,
,,
,"131,330","1,909"
,"897,589","8,293"
GA,,
,,
,"21,846",380
,"157,361","1,729"
HI,,
,,
,"11,580",39
,"51,874",241
ID,,
,,
,"16,975",158
,"63,073",494
IL,,
,,
,"45,448","2,383"
,"248,861","7,417"
IN,,
,,
,"33,526",182
,"188,426","1,481"
IA,,
,,
,"22,414",190
,"102,278",598
KS,,
,,
,,
,,
KY,,
,,
,"4,382",73
,"45,302",689
LO,,
,,
,"42,419",475
,"225,942","1,970"
ME,,
,,
,,
,,
MD,,
,,
,"27,771",528
,"173,127","1,720"
MA,,
,,
,"18,346",156
,"127,383",872
MI,,
,,
,"44,535",749
,"339,994","5,927"
MN,,
,,
,"61,255",912
,"231,986","2,318"
MS,,
,,
,"13,347",183
,"98,684",768
MO,,
,,
,"31,867",538
,"247,319","3,519"
MT,,
,,
,"5,129",28
,"13,769",72
NE,,
,,
,"19,380",221
,"95,330","1,098"
NV,,
,,
,"25,075",456
,"138,029","1,828"
NH,,
,,
,"4,801",17
,"22,389",78
NJ,,
,,
,"69,658","1,571"
,"378,090","4,959"
NM,,
,,
,"10,294",196
,"67,632",505
NY,,
,,
,"44,925",688
,"268,170","2,785"
NC,,
,,
,"50,964","1,501"
,"463,626","6,589"
ND,,
,,
,"6,535",21
,"24,061",82
OH,,
,,
,"58,824",672
,"289,536","3,247"
OK,,
,,
,,
,,
OR,,
,,
,"35,349",326
,"136,451","1,714"
PA,,
,,
,"89,469","1,052"
,"375,205","3,399"
RI,,
,,
,"7,261",146
,"40,149",449
SC,,
,,
,"8,560",179
,"70,602","1,120"
SD,,
,,
,"8,215",75
,"32,997",151
TN,,
,,
,"22,692",361
,"169,144","2,851"
TX,,
,,
,"183,097","1,864"
,"984,426","10,941"
UT,,
,,
,"23,287",305
,"93,725",782
VT,,
,,
,"2,398",7
,"14,223",9
VA,,
,,
,"34,365",576
,"271,518","3,941"
WA,,
,,
,"46,081",733
,"218,541","2,602"
WV,,
,,
,"3,222",28
,"32,279",316
WI,,
,,
,,
,,
WY,,
,,
,"8,535",64
,"34,271",159
