State,allArrests,weaponArrests,,,,
AL, ,,,,,
, ,,,,,
,"11,324",131,,,,
,"171,771","1,340",,,,
AK,,,,,,
,,,,,,
,"4,726",79,,,,
,"32,171",386,,,,
AZ,,,,,,
,,,,,,
,"51,894",456,,,,
,"284,696","2,889",,,,
AR,,,,,,
,,,,,,
,"11,684",163,,,,
,"159,036","1,602",,,,
CA,,,,,,
,,,,,,
,"239,109","6,663",,,,
,"1,415,129","23,336",,,,
CO,,,,,,
,,,,,,
,"46,389",619,,,,
,"229,927","2,277",,,,
CT,,,,,,
,,,,,,
,"22,489",317,,,,
,"143,400","1,393",,,,
DE,,,,,,
,,,, ,,
,"6,647",221,,,,
,"28,082",923,,,,
DC,,,,,,
,,,,,,
,,,,,,
,,,,,,
FL,,,,,,
,,,,,,
,"127,179","1,934",,,,
,"922,333","6,717",,,,
GA,,,,,,
,,,,,,
,"26,896",554,,,,
,"209,334","3,435",,,,
HI,,,,,,
,,,,,,
,"10,196",33,,,,
,"50,305",286,,,,
ID,,,,,,
,,,,,,
,"16,598",183,,,,
,"69,747",568,,,,
IL,,, ,,,
,,, ,,,
,"41,110","1,504",, ,,
,"224,709","5,533",,,,
IN,,,,,,
,,,,,,
,"34,493",199,,,,
,"196,928","1,681",,,,
IA,,,,,,
,,,,,,
,"13,122",87,,,,
,"68,487",426,,,,
KS,,,,,,
,,,,,,
,,,,,,
,,,,,,
KY,,,,,,
,,,,,,
,"5,493",64,,,,
,"52,420",665,,,,
LO,,,,,,
,,,,,,
,"37,382",368,,,,
,"220,687","1,775",,,,
ME,,,,,,
,,,,,,
,"9,892",74,,,,
,"56,636",377,,,,
MD,,,,,,
,,,,,,
,"37,352",964,,,,
,"258,797","3,109",,,,
MA,,,,,,
,,,,,,
,"19,765",224,,,,
,"132,869","1,140",,,,
MI,,,,,,
,,,,,,
,"44,809",577,,,,
,"304,577","3,021",,,,
MN,,,,,,
,,,,,,
,"35,109",352,,,,
,"134,531",808,,,,
MS,,,,,,
,,,,,,
,"10,946",132,,,,
,"94,467",706,,,,
MO,,,,,,
,,,,,,
,"38,445",621,,,,
,"286,856","4,101",,,,
MT,,,,,,
,,,,,,
,"5,338",16,,,,
,"19,058",69,,,,
NE,,,,,,
,,,,,,
,"14,373",167,,,,
,"84,706","1,026",,,,
NV,,,,,,
,,,,,,
,"25,249",353,,,,
,"148,679","1,875",,,,
NH,,,,,,
,,,,,,
,"6,416",29,,,,
,"29,200",124,,,,
NJ,,,,,,
,,,,,,
,"62,339","1,667",,,,
,"364,204","5,185",,,,
NM,,,,,,
,,,,,,
,"7,688",207,,,,
,"57,947",500,,,,
NY,,,,,,
,,,,,,
,"43,460",642,,,,
,"248,316","2,894",,,,
NC,,,,,,
,,,,,,
,"50,266","1,317",,,,
,"499,642","7,442",,,,
ND,,,,,,
,,,,,,
,"7,478",37,,,,
,"25,438",107,,,,
OH,,,,,,
,,,,,,
,"53,807",596,,,,
,"268,148","3,078",,,,
OK,,,,,,
,,,,,,
,"22,632",262,,,,
,"154,382","2,075",,,,
OR,,,,,,
,,,,,,
,"32,044",305,,,,
,"140,987","1,766",,,,
PA,,,,,,
,,,,,,
,"95,281","1,069",,,,
,"403,367","3,493",,,,
RI,,,,,,
,,,,,,
,"6,511",127,,,,
,"36,528",402,,,,
SC,,,,,,
,,,,,,
,"8,689",200,,,,
,"63,001",743,,,,
SD,,,,,,
,,,,,,
,"5,924",36,,,,
,"25,859",86,,,,
TN,,,,,,
,,,,,,
,"26,061",502,,,,
,"211,434","2,622",,,,
TX,,,,,,
,,,,,,
,"180,231","1,642",,,,
,"1,013,175","10,010",,,,
UT,,,,,,
,,,,,,
,"21,803",274,,,,
,"94,473",835,,,,
VT,,,,,,
,,,,,,
,"1,773",13,,,,
,"12,043",18,,,,
VA,,,,,,
,,,,,,
,"28,813",527,,,,
,"223,118","2,945",,,,
WA,,,,,,
,,,,,,
,"42,301",656,,,,
,"222,585","2,930",,,,
WV,,,,,,
,,,,,,
,"1,242",9,,,,
,"18,632",165,,,,
WI,,,,,,
,,,,,,
,"25,653",550,,,,
,"99,269","2,012",,,,
WY,,,,,,
,,,,,,
,"7,254",73,,,,
,"35,200",146,,,,
,,,,,,
,,,,,,
, ,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,  
