State,allArrests,weaponArrests,,
AL, ,,,
, ,,,
,"13,596",134,,
,"208,312","1,215",,
AK,,,,
,,,,
,"4,520",45,,
,"36,864",361,,
AZ,,,,
,,,,
,"52,893",522,,
,"315,007","3,331",,
AR,,,,
,,,,
,"9,358",103,,
,"98,086",978,,
CA,,,,
,,,,
,"204,602","7,729",,
,"1,414,732","28,413",,
CO,,,,
,,,,
,"43,373",665,,
,"229,977","2,335",,
CT,,,,
,,,,
,"19,671",321,,
,"116,805","1,270",,
DE,,,,
,,,, 
,"6,767",139,,
,"31,048",333,,
DC,,,,
,,,,
,338,9,,
,"5,779",33,,
FL,,,,
,,,,
,"121,143","2,712",,
,"1,028,856","7,777",,
GA,,,,
,,,,
,"24,054",608,,
,"205,472","3,698",,
HI,,,,
,,,,
,"9,542",41,,
,"49,456",206,,
ID, ,,,
,,,,
,"15,567",205,,
,"72,204",626,,
IL,,, ,
,,, ,
,"36,581","1,282",, 
,"200,447","4,817",,
IN,,,,
,,,,
,"34,024",155,,
,"215,441","1,447",,
IA,,,,
,,,,
,"18,872",85,,
,"110,513",447,,
KS,,,,
,,,,
,"12,426",141,,
,"80,262",692,,
KY,,,,
,,,,
,"7,829",90,,
,"69,483",574,,
LO,,,,
,,,,
,"35,055",281,,
,"232,704","1,655",,
ME,,,,
,,,,
,"8,580",47,,
,"55,345",315,,
MD,,,,
,,,,
,"52,191","1,525",,
,"309,630","4,135",,
MA,,,,
,,,,
,"14,460",193,,
,"101,430",773,,
MI,,,,
,,,,
,"39,224",632,,
,"331,479","4,763",,
MN,,,,
,,,,
,"30,905",379,,
,"132,255",878,,
MS,,,,
,,,,
,"12,514",176,,
,"113,350",736,,
MO,,,,
,,,,
,"36,935",512,,
,"273,415","3,279",,
MT,,,,
,,,,
,,,,
,,,,
NE,,,,
,,,,
,"14,577",182,,
,"93,098","1,095",,
NV,,,,
,,,,
,"17,722",184,,
,"148,909","1,589",,
NH,,,,
,,,,
,"7,812",13,,
,"43,769",87,,
NJ,,,,
,,,,
,"60,443","2,086",,
,"379,625","6,044",,
NM,,,,
,,,,
,"10,994",258,,
,"92,672",754,,
NY,,,,
,,,,
,"47,820",889,,
,"315,889","4,095",,
NC,,,,
,,,,
,"37,870","1,201",,
,"393,819","5,601",,
ND,,,,
,,,,
,"6,396",39,,
,"26,010",136,,
OH,,,,
,,,,
,"47,954",575,,
,"271,838","2,927",,
OK,,,,
, ,,,
,"23,128",307,,
,"158,957","2,281",,
OR,,,,
,,,,
,"30,109",284,,
,"155,202","2,206",,
PA,,,,
,,,,
,"104,140","1,575",,
,"441,127","4,583",,
RI,,,,
,,,,
,"7,195",188,,
,"43,576",590,,
SC,,,,
,,,,
,"2,866",67,,
,"26,540",331,,
SD,,,,
,,,,
,"4,734",33,,
,"24,475",80,,
TN,,,,
,,,,
,"34,434",584,,
,"269,127","2,906",,
TX,,,,
,,,,
,"194,033","1,820",,
,"1,116,524","13,019",,
UT,,,,
,,,,
,"21,687",333,,
,"90,811","1,171",,
VT,,,,
,,,,
,"1,401",11,,
,"12,074",16,,
VA,,,,
,,,,
,"33,881",628,,
,"267,765","3,142",,
WA,,,,
,,,,
,"35,285",662,,
,"216,541","2,777",,
WV,,,,
,,,,
,"1,940",26,,
,"30,257",305,,
WI,,,,
,,,,
,"81,891","1,002",,
,"302,927","2,691",,
WY,,,,
,,,,
,"6,704",54,,
,"35,849",140,,
