State,Total        all       classes,"Weapons; carrying, possessing, etc.",,,,
AL, ,,,,,
, ,,,,,
,"11,861",128,,,,
,"195,820","1,364",,,,
AK,,,,,,
,,,,,,
,"5,102",58,,,,
,"31,730",351,,,,
AZ,,,,,,
,,,,,,
,"50,583",422,,,,
,"298,631","2,974",,,,
AR,,,,,,
,,,,,,
,"9,410",99,,,,
,"107,467","1,148",,,,
CA,,,,,,
,,,,,,
,"227,266","6,799",,,,
,"1,412,566","24,849",,,,
CO,,,,,,
,,,,,,
,"44,035",608,,,,
,"222,108","2,134",,,,
CT,,,,,,
,,,,,,
,"14,345",217,,,,
,"99,005","1,009",,,,
DE,,,,,,
,,,, ,,
,"5,206",181,,,,
,"25,217",806,,,,
DC,,,,,,
,,,,,,
,277,14,,,,
,"4,303",35,,,,
FL,,,,,,
,,,,,,
,"123,260","1,777",,,,
,"912,998","5,970",,,,
GA,,,,,,
,,,,,,
,"26,900",508,,,,
,"232,233","3,445",,,,
HI,,,,,,
,,,,,,
,"9,850",36,,,,
,"45,929",285,,,,
ID,,,,,,
,,,,,,
,"16,699",185,,,,
,"72,595",609,,,,
IL,,, ,,,
,,, ,,,
,"38,810","1,311",, ,,
,"199,430","5,046",,,,
IN,,,,,,
,,,,,,
,"33,841",172,,,,
,"196,964","1,662",,,,
IA,,,,,,
,,,,,,
,"20,944",111,,,,
,"112,438",583,,,,
KS,,,,,,
,,,,,,
,"9,500",54,,,,
,"54,136",244,,,,
KY,,,,,,
,,,,,,
,"5,717",60,,,,
,"61,176",662,,,,
LO,,,,,,
,,,,,,
,"35,560",276,,,,
,"216,444","1,572",,,,
ME,,,,,,
,,,,,,
,"9,277",46,,,,
,"54,880",304,,,,
MD,,,,,,
,,,,,,
,"25,518",500,,,,
,"161,317","1,657",,,,
MA,,,,,,
,,,,,,
,"17,395",163,,,,
,"114,657",949,,,,
MI,,,,,,
,,,,,,
,"46,096",622,,,,
,"371,037","5,233",,,,
MN,,,,,,
,,,,,,
,"42,874",422,,,,
,"164,144",957,,,,
MS,,,,,,
,,,,,,
,"14,003",145,,,,
,"116,670",841,,,,
MO,,,,,,
,,,,,,
,"38,813",532,,,,
,"304,921","4,099",,,,
MT,,,,,,
,,,,,,
,"5,953",23,,,,
,"21,579",70,,,,
NE,,,,,,
,,,,,,
,"15,772",127,,,,
,"93,355","1,079",,,,
NV,,,,,,
,,,,,,
,"12,489",112,,,,
,"115,128","1,196",,,,
NH,,,,,,
,,,,,,
,"7,165",15,,,,
,"34,348",114,,,,
NJ,,,,,,
,,,,,,
,"62,093","1,669",,,,
,"368,619","5,578",,,,
NM,,,,,,
,,,,,,
,"9,201",214,,,,
,"76,539",609,,,,
NY,,,,,,
,,,,,,
,"43,790",674,,,,
,"264,833","3,004",,,,
NC,,,,,,
,,,,,,
,"45,879","1,178",,,,
,"447,259","6,089",,,,
ND,,,,,,
,,,,,,
,"7,025",27,,,,
,"25,221",81,,,,
OH,,,,,,
,,,,,,
,"46,858",499,,,,
,"247,868","2,927",,,,
OK,,,,,,
,,,,,,
,"22,805",326,,,,
,"161,363","2,440",,,,
OR,,,,,,
,,,,,,
,"24,840",193,,,,
,"111,337","1,410",,,,
PA,,,,,,
,,,,,,
,"100,243","1,144",,,,
,"421,600","3,597",,,,
RI,,,,,,
,,,,,,
,"7,681",152,,,,
,"42,140",477,,,,
SC,,,,,,
,,,,,,
,"15,696",348,,,,
,"120,025","1,304",,,,
SD,,,,,,
,,,,,,
,"5,954",49,,,,
,"28,112",105,,,,
TN,,,,,,
,,,,,,
,"26,686",452,,,,
,"234,995","2,611",,,,
TX,,,,,,
,,,,,,
,"180,017","1,635",,,,
,"1,036,323","10,898",,,,
UT,,,,,,
,,,,,,
,"28,450",303,,,,
,"121,200","1,297",,,,
VT,,,,,,
,,,,,,
,"1,851",9,,,,
,"13,757",11,,,,
VA,,,,,,
,,,,,,
,"32,989",508,,,,
,"251,047","3,114",,,,
WA,,,,,,
,,,,,,
,"38,772",547,,,,
,"237,512","2,657",,,,
WV,,,,,,
,,,,,,
,"1,739",21,,,,
,"25,781",246,,,,
WI,,,,,,
,,,,,,
,"114,131","1,349",,,,
,"409,682","4,453",,,,
WY,,,,,,
,,,,,,
,"6,231",45,,,,
,"34,060",127,,,,
,,,,,,
,,,,,,
, ,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,  
