State,allArrests,weaponArrests,,
AL, ,,,
, ,,,
,"13,018",144,,
,"208,757","1,334",,
AK,,,,
,,,,
,"5,521",75,,
,"35,754",382,,
AZ,,,,
,,,,
,"51,400",459,,
,"305,252","3,123",,
AR,,,,
,,,,
,"9,128",131,,
,"120,392","1,164",,
CA,,,,
,,,,
,"220,348","7,653",,
,"1,457,151","27,119",,
CO,,,,
,,,,
,"37,332",616,,
,"195,911","1,933",,
CT,,,,
,,,,
,"15,231",231,,
,"87,176",895,,
DE,,,,
,,,, 
,"6,592",134,,
,"34,912",372,,
DC,,,,
,,,,
,332,3,,
,"5,421",25,,
FL,,,,
,,,,
,"122,706","1,986",,
,"974,805","6,760",,
GA,,,,
,,,,
,"36,061",852,,
,"265,932","3,990",,
HI,,,,
,,,,
,"11,743",48,,
,"58,719",312,,
ID, ,,,
,,,,
,"16,117",196,,
,"73,523",575,,
IL,,, ,
,,, ,
,"36,113","1,278",, 
,"197,983","4,824",,
IN,,,,
,,,,
,"33,746",151,,
,"208,042","1,481",,
IA,,,,
,,,,
,"21,176",132,,
,"116,510",579,,
KS,,,,
,,,,
,"8,309",38,,
,"54,354",228,,
KY,,,,
,,,,
,"5,646",65,,
,"60,090",502,,
LO,,,,
,,,,
,"35,285",242,,
,"219,924","1,541",,
ME,,,,
,,,,
,"9,238",37,,
,"55,320",254,,
MD,,,,
,,,,
,"51,325","1,440",,
,"324,414","4,013",,
MA,,,,
,,,,
,"14,694",136,,
,"98,390",595,,
MI,,,,
,,,,
,"43,681",616,,
,"353,346","4,584",,
MN,,,,
,,,,
,"40,941",500,,
,"155,088","1,128",,
MS,,,,
,,,,
,"11,403",116,,
,"100,844",685,,
MO,,,,
,,,,
,"48,176",554,,
,"324,705","4,227",,
MT,,,,
,,,,
,"5,292",20,,
,"18,855",59,,
NE,,,,
,,,,
,"13,273",144,,
,"86,544",998,,
NV,,,,
,,,,
,,,,
,,,,
NH,,,,
,,,,
,"6,575",9,,
,"36,477",74,,
NJ,,,,
,,,,
,"59,499","1,936",,
,"363,297","5,623",,
NM,,,,
,,,,
,"8,126",226,,
,"64,435",597,,
NY,,,,
,,,,
,"45,172",656,,
,"297,442","3,440",,
NC,,,,
,,,,
,"45,130","1,318",,
,"432,569","6,568",,
ND,,,,
,,,,
,"6,516",20,,
,"25,585",89,,
OH,,,,
,,,,
,"44,836",453,,
,"236,081","2,472",,
OK,,,,
,,,,
,"24,678",325,,
,"166,495","2,315",,
OR,,,,
,,,,
,"26,649",192,,
,"115,141","1,436",,
PA,,,,
,,,,
,"103,922","1,423",,
,"421,100","4,137",,
RI,,,,
,,,,
,"7,605",186,,
,"43,914",564,,
SC,,,,
,,,,
,"1,353",45,,
,"17,583",174,,
SD,,,,
,,,,
,"7,832",65,,
,"35,298",157,,
TN,,,,
,,,,
,"30,437",532,,
,"253,709","2,701",,
TX,,,,
,,,,
,"169,176","1,661",,
,"982,963","11,344",,
UT,,,,
,,,,
,"23,684",408,,
,"98,509","1,297",,
VT,,,,
,,,,
,"1,527",6,,
,"10,951",9,,
VA,,,,
,,,,
,"27,931",545,,
,"213,059","2,752",,
WA,,,,
,,,,
,"36,088",589,,
,"216,720","2,514",,
WV,,,,
,,,,
,"1,224",6,,
,"19,879",178,,
WI,,,,
,,,,
,"79,901",855,,
,"294,493","2,544",,
WY,,,,
,,,,
,"6,126",45,,
,"32,907",117,,
