Year,USA,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LO,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1998,9247,190,18,273,125,1503,98,80,12,0,NaN,323,9,15,555,272,26,0,80,407,8,334,62,464,49,103,246,5,11,117,4,152,85,534,361,3,213,124,79,414,12,197,4,292,912,35,4,273,109,48,0,7
1999,8394,12,26,268,94,1352,100,77,18,0,NaN,341,15,15,459,225,26,0,54,317,15,315,68,476,48,112,213,5,7,103,4,153,72,512,349,3,203,159,45,409,18,182,5,246,727,30,8,239,89,46,131,3
2000,8680,151,15,259,112,1507,66,59,13,0,NaN,340,8,12,415,194,19,22,48,384,6,313,50,464,63,106,229,8,17,87,5,151,65,576,365,1,184,117,46,424,32,179,1,273,760,17,4,248,108,39,113,5
2001,8921,224,19,306,90,1605,78,78,15,1,NaN,384,11,19,216,238,17,40,56,359,6,336,74,463,56,128,237,11,8,113,7,181,48,525,316,5,262,122,41,433,18,203,4,264,805,37,3,215,104,19,115,6
2002,9548,187,22,323,110,1761,100,51,23,0,NaN,423,11,16,486,197,26,28,53,430,8,350,79,449,63,119,229,5,8,116,9,193,79,528,359,2,292,97,39,415,26,197,3,282,809,31,4,246,102,43,112,7
2003,9680,209,23,314,104,1794,111,46,14,0,NaN,414,9,11,482,228,19,47,56,450,8,366,69,429,72,124,195,11,6,114,2,244,55,553,295,4,254,141,40,435,17,192,4,271,881,28,4,267,97,33,129,9
2004,9482,162,20,320,96,1788,128,54,17,0,NaN,332,7,18,352,202,21,41,130,433,9,388,99,442,79,125,236,11,16,117,4,245,74,508,276,4,238,119,59,468,15,195,5,231,877,27,3,238,114,36,99,4
2005,10127,219,23,332,119,1881,108,56,22,0,NaN,363,2,23,345,233,20,52,123,323,8,424,95,417,69,108,286,6,6,134,7,280,66,502,336,2,303,131,56,529,16,209,6,298,933,29,6,298,130,38,146,9
2006,10278,248,27,350,134,1874,99,65,26,0,NaN,424,6,19,397,230,17,68,96,383,12,405,109,467,79,119,239,5,5,142,3,290,67,413,344,1,328,136,53,578,9,236,1,287,961,20,7,248,111,35,100,5
2007,10195,284,22,337,118,1678,91,62,24,0,NaN,493,7,25,346,228,15,66,125,454,14,426,114,422,55,116,268,11,8,135,5,258,87,479,343,2,282,148,40,541,9,233,4,273,986,38,8,251,103,34,119,8
2008,9616,265,17,310,104,1518,83,77,41,0,NaN,449,13,13,422,216,26,58,120,311,13,375,88,368,59,137,358,11,9,103,2,237,92,462,347,0,292,134,41,527,18,210,10,248,936,18,9,232,115,31,87,4
2009,9318,229,20,217,99,1407,88,67,32,125,NaN,389,10,5,390,208,17,80,116,399,8,313,94,424,45,109,279,18,28,102,4,229,81,449,313,3,296,136,43,496,16,199,8,300,920,23,0,239,109,35,95,6
2010,9029,123,24,255,96,1303,80,85,41,97,NaN,390,7,12,358,201,21,69,108,366,14,305,116,418,59,117,313,11,37,96,5,252,71,497,274,5,301,124,46,473,17,191,8,235,859,27,2,241,106,27,103,5
2011,8741,NaN,20,234,107,1260,77,90,31,82,NaN,380,7,14,392,181,21,74,103,389,19,281,109,461,44,136,280,6,43,91,6,276,60,426,293,5,336,137,50,491,11,207,8,266,748,26,5,203,94,40,82,8
2012,9063,NaN,21,230,111,1367,83,84,38,0,NaN,404,7,17,433,224,26,53,120,380,15,298,70,525,42,130,285,12,41,80,9,273,59,396,300,2,290,160,43,555,19,239,5,275,799,24,3,209,109,41,109,7
2013,8686,NaN,18,237,103,1307,88,59,30,79,NaN,413,6,14,370,263,17,71,105,352,16,278,76,429,61,105,278,10,41,83,5,290,66,346,293,4,306,134,47,475,15,207,4,240,810,29,6,221,107,30,117,7
2014,8558,NaN,22,191,99,1263,97,55,39,76,NaN,441,3,12,384,236,30,57,115,341,10,226,80,358,52,121,317,14,36,106,8,255,76,336,298,6,269,122,47,451,13,225,8,270,846,31,5,222,111,22,125,9
2015,9896,NaN,39,205,114,1366,120,73,53,127,NaN,472,7,23,436,213,49,83,152,385,16,355,81,394,78,123,410,14,37,126,7,262,63,386,324,8,302,167,45,498,10,297,10,315,969,33,7,260,136,37,169,8
2016,11179,NaN,45,258,147,1425,140,44,41,108,NaN,529,26,16,816,286,44,59,199,447,13,364,84,429,75,126,438,13,30,145,10,285,56,380,389,8,425,181,54,489,14,283,8,375,1084,39,5,349,124,48,187,7
