Year,USA,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LO,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
2000,5331.79594924853,6106.34402571508,15527.6664389462,3810.78815467856,14757.9246976392,932.868113921579,7799.42596594669,1768.72638510665,2719.19305469542,NaN,1103.69736373513,4012.8703172838,762.65802183567,19176.7159446834,2493.63024976112,4804.66904557651,9111.43377737689,7782.1390134912,8569.23192050622,6228.2683924117,16339.4076449879,2519.4717262213,1082.61081724179,9022.05989479977,11720.0263007906,8848.58723620282,8981.33410375966,31403.3501775335,10788.9393285176,2989.2393328317,6150.42399196053,1028.21607091577,5994.27631391102,3660.82545950958,5005.95549354374,19231.8655250669,3950.79245971085,8863.71301237709,9060.21737127476,8370.90946211845,1093.43519939673,6428.71928320076,30192.605881637,11073.1261480448,4695.67211896546,7650.24936489252,16680.4457873619,4433.97289854214,3637.06223758619,15305.0794650422,14388.5214716266,29823.1843010318
2001,5260.42213966781,6223.69692772506,14734.8804034628,3634.28151862614,14881.8292365314,918.079976779217,6740.01573089105,1727.69736966676,2628.88353510561,NaN,1110.44432078663,4000.80553532167,723.277006855103,18700.8413878581,2383.33115131628,4614.75318876718,8864.19733717326,7567.08887179969,8729.65773971936,6049.90090165536,15472.0570712115,2538.11800529556,969.483405896617,8880.23564925654,11646.8344278995,8752.4193881936,9198.89979723964,30842.2302612792,10335.6947988064,2923.22861381463,5836.71905677103,1014.47471590504,6108.89397223329,3641.04647327614,5186.6464347302,20557.4732968006,3707.42971795854,9434.97447434455,8755.49353981921,8413.74521606281,1162.09553683422,6831.27531522179,28629.9493912704,10902.4692090077,4787.48638226325,7329.85508261758,15695.7513847079,4381.58014281582,3563.07894018466,15334.1611707256,14112.9329820496,28089.7672528641
2002,5203.4405762224,6107.8697320522,15184.7083384579,3400.09877220406,14874.4958751659,917.909615502685,6693.69317607361,1668.81146911788,2665.4460789239,NaN,1089.65766832421,3973.14091160398,728.614495007716,18374.3020594283,2402.15284654829,4638.962489565,8789.31264514009,6939.65620491352,8556.52067605978,6068.39665067696,15271.1503441464,2363.23174684751,1067.25574962063,8690.66696220238,11657.9314137362,8730.98467440054,9499.18279418308,24939.4789983623,10121.3799519989,2827.08871276033,5325.55242382528,968.285476197241,5992.96397527312,3640.32960946399,5202.07234968265,22222.3615098219,3741.76151258134,9467.71068591147,8480.16066378553,8504.81196584454,1008.44750678943,6796.90685635481,28440.304202521,12510.7014971571,4739.01612815852,6868.41748698283,14971.0289515503,4319.38363684944,3274.13372890427,15957.4479869991,12655.2524975382,27520.6642974139
2003,5080.93241283409,6000.4338856234,15286.6841246488,3293.1944241796,14186.6092976553,895.20488078813,6840.78898905919,1576.36921353165,2453.04723821306,NaN,1036.92730305688,3847.8831626829,670.421067270696,17996.3033050213,2341.4611302352,3757.18252381372,9143.91881166513,7193.30562863661,8437.32466718644,5945.37719401855,15394.871692819,2250.59945210105,882.233188764925,8604.05260272925,11346.9047240249,8208.55611244523,9501.46626538712,25257.5492317562,10151.7102705961,2703.82640016008,4998.67170896362,947.531576828987,5855.85441639051,3345.71360495045,5147.42592491233,22856.3109622944,3725.40356672988,9463.1161245482,8327.90208875518,8224.88993231166,997.907297576311,6571.86702542011,27231.2561130977,12440.9779247349,4717.58093200873,6562.5003972227,14584.2572241518,4134.73531952116,3183.22967375287,14502.8817052411,13071.2441207234,27346.5447618745
2004,5111.38497227601,6039.60201548139,14794.3381172966,3246.01709290419,14637.7804592961,899.777414072342,6569.90482868573,1650.98535680105,2586.41338560405,NaN,1044.23588475387,3854.88978991595,709.188116230844,17695.3331005416,2389.90011972416,4581.62488827624,8731.57990069863,6886.77075146661,8440.4842043163,5995.11712700434,15065.0687225582,2317.83859014032,1068.07546331797,8656.43691918155,11500.3342366207,8639.3262743985,9378.67590067124,24447.6128725636,9999.4283656402,2619.31735360081,5238.73342112872,959.09913659768,5840.29481964568,3633.91787431878,5064.03954939653,21997.0374047045,3727.267242047,9370.61465157055,8347.02586915735,8450.20136620577,1000.39178133948,6630.4497282186,28057.2588642724,12267.5254774769,4590.09977796308,6648.87282538995,14862.8855336172,4210.35171207566,3207.20805289833,15860.6019032854,12497.2025884535,27029.3416302302
2005,4967.24754199002,5913.3595415997,14861.922854324,3107.80282568632,13899.5151913076,880.843201073531,6688.43892598439,1566.20157196155,2374.25309116725,NaN,988.227914322344,3717.207029145,648.859892521944,17179.033510451,2331.45330301113,3708.12612206257,9074.65590628156,7134.88767525869,8305.05443558317,5873.16688181779,15251.5910454076,2211.92090164132,884.888861819471,8595.50516523653,11200.566919512,8102.25802777274,9368.72010085833,24707.531735918,10020.0000340619,2500.05859030493,4926.86901421033,941.993122032036,5690.08329046502,3353.29053380589,4980.14624703934,22599.0536907454,3716.13110338017,9346.56710807116,8176.18278745556,8175.12303222734,1001.10870143345,4955.44652998138,26818.1659924719,12143.5165781264,4562.82986969558,6301.94094605608,14505.4449747672,4020.07099017369,3105.29852708155,14437.5806100768,12913.4252382637,26777.2295232779
2006,4935.46194222351,5775.65559245112,14524.4646099079,3019.40193470347,13401.631109084,849.394198450124,6757.25459349723,1538.89454322153,2150.66777768985,NaN,963.654408352732,3435.7298472566,626.922627623535,17066.3369350071,2612.79006450118,3956.8308402034,9609.1588536882,7320.99353910756,8308.22809516124,6440.38055484217,15533.1707991499,2148.67805849521,1084.22916142753,8298.40851224696,11069.5247750823,8082.57411932207,8429.31628917022,24443.2618306861,9361.57586226154,2327.78283857741,4783.51621727177,999.667616405549,5298.7125771544,3285.84729011516,4913.74602316628,22672.4687491338,3851.63135637323,9495.03212217835,7718.22474320211,8142.27121523476,874.991534160603,4822.01417351275,29635.1494764588,11997.4227947009,4597.03042606074,6078.02710505257,13888.7640232978,4137.28665022528,3030.19125054762,13907.7811185659,12958.9047727047,26180.9144254372
2007,4838.63678838561,5547.82530538174,14692.6356019403,3189.30242987599,13190.0022817826,825.656364713671,6497.90960117972,1480.09650522926,2233.67047166099,NaN,878.018223371042,3364.37864946992,590.951412772911,16920.9457147508,2648.12971403447,4424.43169233678,9349.05568529334,7125.83766346898,8068.65081453304,6402.96682886227,15003.466361225,2164.55277949159,917.600227254387,7891.42674080648,10976.0844737568,8061.43391329588,8152.0147727126,24042.1434094947,9576.1561925268,2321.5428100414,4627.43992564036,951.45303262258,5324.73732079776,2999.99973866232,4689.69362594164,22811.5780411812,3754.76024106149,9388.55899639798,7498.89117742585,8009.37636029216,845.537990097558,4953.2077288816,30711.9676916916,12557.4041728205,4362.66256148303,5729.92894609404,13034.0780232277,4092.87833827893,3050.87589163467,12996.0873519399,12718.5638347644,25999.2970333311
2008,4808.90765191967,5424.15909775877,14106.9597282731,3231.91561250769,12316.4149986398,806.360732609363,6261.67498000912,1377.96957845249,2226.67484279433,NaN,904.200583948934,4112.55609377241,656.126310132089,16624.7588508264,2580.79563267953,4135.67351294343,9660.24846738227,7448.87246641473,8108.57558186969,6075.20629743173,14698.7355966777,2088.10432430103,884.11333679705,8189.9275240731,11020.4310333984,7637.88390416466,8228.37460895799,24642.4932021733,9542.47936681478,2412.9588525906,4641.36496071908,921.193559015003,4782.50446867748,3183.58379957648,4736.00532104532,23220.5289482929,3652.68534954653,9403.71373375023,7427.85137133074,7779.11377676607,860.187127429969,4405.83299256612,29960.1813986315,12486.0202090114,4135.19432010455,5903.69087231119,13411.4981791265,3956.62421988854,3005.3041412288,12896.9032391282,12796.5167853337,26729.0304975982
2009,4711.14905842517,5562.07331831562,13876.0471887766,3199.92230994234,13149.8669413565,813.325227903001,6157.82365735857,1371.69139147629,2230.49577786998,NaN,912.910791628254,2840.41548944864,509.089883026649,16409.5857090564,2570.7642970754,4113.5722385853,9567.53833827365,7377.82698086351,8057.49449743044,6528.20523781027,14708.8952233395,2163.79763464533,907.663587881023,8102.72813732662,10949.096257046,7836.52283006407,8117.83016791566,24452.9879611619,9456.64520492552,2385.06480324361,4640.67374717157,916.510366734349,4627.00841809857,3081.73183848856,4874.05453329814,23566.99871272,3475.92692309827,9759.21918929882,7350.12865619913,7446.37699420014,861.294970037375,4467.64092767729,30789.8848546651,10586.8060340446,4082.15368255504,5772.77622519618,13450.9784464891,4024.67241412593,2958.56301967206,12844.7998268187,12732.7109832952,26069.7935700749
