Year,USA,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LO,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
2000,"41,990","35,424","52,847","39,783","29,697","46,816","48,240","50,172","50,365","41,222","38,856","41,901","51,546","37,611","46,064","40,865","40,991","41,059","36,265","30,718","37,266","54,535","46,753","45,512","54,251","34,299","45,097","32,777","41,750","45,758","50,926","50,405","35,093","40,744","38,317","35,996","42,962","32,432","42,499","42,176","42,197","37,570","36,475","34,096","38,609","47,550","39,594","47,163","42,525","29,411","45,088","39,629"
2001,"42,228","35,160","57,363","42,704","33,339","47,262","49,397","53,347","49,602","41,169","36,421","42,576","47,439","38,241","46,171","40,379","40,976","41,415","38,437","33,322","36,612","53,530","52,253","45,047","52,681","30,161","41,339","32,126","43,611","45,403","51,331","51,771","33,124","42,114","38,162","35,793","41,785","35,609","41,273","43,499","45,723","37,736","39,671","35,783","40,860","47,342","40,794","50,241","42,490","29,673","45,346","39,719"
2002,"42,409","37,603","52,774","39,734","32,387","47,437","48,294","53,387","49,650","39,070","38,024","42,939","47,303","37,715","42,710","41,047","41,049","42,619","36,762","34,008","36,853","56,407","49,855","42,715","54,622","30,882","42,776","34,835","42,796","44,958","55,321","54,568","35,457","41,966","36,515","36,200","42,684","36,458","41,802","42,498","42,417","37,812","37,873","37,030","40,149","47,861","42,999","49,631","45,183","29,359","45,903","39,763"
2003,"43,318","37,255","51,837","41,166","32,002","49,300","49,940","54,965","49,019","45,044","38,972","42,438","51,834","42,372","45,153","42,425","41,384","44,232","36,936","33,507","37,113","52,314","50,955","45,022","52,823","32,728","43,762","34,108","43,974","45,184","55,567","56,045","35,105","42,788","37,279","40,410","43,520","35,902","41,638","42,933","44,711","38,479","39,522","37,523","39,271","49,275","43,261","54,783","47,508","32,763","46,269","42,555"
2004,"44,334","36,629","55,063","43,846","34,984","49,222","50,886","55,100","48,049","43,451","40,535","40,984","56,242","44,358","46,077","42,329","43,391","41,066","35,610","36,429","41,329","57,103","52,019","42,256","56,104","34,755","42,137","33,956","43,786","47,204","56,815","55,275","39,562","44,649","40,238","39,220","43,055","39,614","40,994","44,106","47,935","38,691","41,107","38,072","41,397","50,871","47,329","51,141","49,922","33,373","45,732","45,397"
2005,"46,326","37,150","55,891","45,245","36,658","51,755","50,449","56,835","51,235","44,993","42,990","45,926","59,586","44,176","48,398","42,437","46,500","42,027","36,699","37,236","43,923","60,512","56,017","45,933","54,215","32,875","42,986","37,313","47,923","48,209","56,984","63,368","38,947","47,176","42,056","42,192","44,203","37,645","44,159","46,300","49,484","40,230","43,151","39,406","41,422","54,813","50,704","51,914","50,646","36,445","44,650","44,718"
2006,"48,201","37,952","56,418","46,657","37,057","55,319","55,697","62,404","52,438","48,477","45,676","49,344","60,470","46,213","48,671","45,407","48,126","45,552","39,485","36,488","45,642","63,668","55,330","48,647","56,211","34,733","44,579","41,105","48,145","52,282","61,970","68,059","40,028","48,222","39,797","41,047","45,900","38,838","47,091","48,477","53,736","39,617","45,427","40,693","43,307","54,628","51,981","57,119","54,723","38,419","51,692","47,041"
2007,"50,233","42,212","62,993","47,215","40,795","55,734","61,141","64,141","54,589","50,783","45,794","48,641","64,022","49,184","52,506","47,453","48,908","48,497","39,452","41,313","47,894","65,630","58,463","49,370","58,058","37,279","46,005","43,655","49,174","54,058","67,576","60,508","44,356","48,944","43,513","47,205","49,099","43,216","50,236","48,437","54,210","44,213","46,418","41,195","46,053","53,529","47,390","59,161","58,080","42,091","51,277","48,744"
2008,"50,303","44,476","63,989","46,914","39,586","57,014","60,943","64,682","50,702","55,590","44,857","46,227","61,521","47,420","53,254","46,520","50,142","47,877","41,148","39,563","47,228","63,711","60,320","49,788","54,925","36,446","46,038","42,900","50,728","54,744","66,176","65,306","42,102","50,461","42,930","49,631","46,934","46,111","51,727","51,402","53,241","42,155","51,600","39,702","46,490","62,537","50,706","61,985","56,631","37,994","51,200","53,337"
2009,"49,777","39,980","61,604","45,739","36,538","56,134","55,930","64,851","52,114","53,141","45,631","43,340","55,649","46,778","52,870","44,305","50,721","44,717","42,664","45,433","47,502","64,186","59,373","45,994","56,090","35,078","48,769","40,437","49,595","51,434","64,131","64,777","43,542","50,216","41,906","50,075","45,879","45,878","49,098","48,172","51,634","41,101","45,826","40,517","47,475","58,491","52,318","60,501","60,392","40,490","51,237","52,470"
