Year,USA,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LO,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1999,126479,1645,535,4349,1761,19051,1649,534,623,842,13607,3665,134,510,NaN,1822,504,242,818,4679,NaN,1207,1288,7938,457,963,4343,93,822,756,20,2257,1803,974,6340,6,2327,2013,1066,4705,244,2567,94,6781,14820,445,36,1271,1835,814,1136,88
2000,129044,2461,353,4103,1687,20981,1390,610,508,819,12416,4784,123,624,NaN,1484,479,219,592,4250,29,3330,1124,7547,1225,557,4046,85,734,757,87,2422,1725,1364,5966,4,2170,2078,848,5255,217,1383,86,7817,14866,398,34,1296,2088,412,1104,107
2001,129259,1962,454,4105,1373,21418,1552,661,384,NaN,12720,4432,174,624,NaN,1665,478,243,524,5104,22,2236,1512,6343,418,816,4082,230,541,835,77,2442,1645,1276,6023,12,2717,2173,689,5132,256,2171,67,9149,15534,435,26,1759,1353,345,966,104
2002,137704,2402,441,4604,1322,22889,1446,413,414,927,12959,4648,156,592,NaN,1599,557,768,605,4879,17,1228,1365,7048,418,814,3954,230,507,1096,87,2372,1783,1057,5861,8,3105,2109,751,5335,271,5247,85,9231,16585,594,46,1929,1301,541,1008,100
2003,135346,1782,495,4895,1510,22290,1531,373,617,904,12862,4808,186,460,NaN,1415,445,488,491,4704,30,2381,1856,7219,376,689,3829,300,471,1586,87,2527,1434,1696,5586,9,2041,2071,725,5068,358,5000,114,8799,16352,546,55,1125,1365,360,930,105
2004,137988,1738,459,4916,2008,22197,2096,416,512,789,13539,3601,175,517,NaN,1511,547,1420,580,4445,35,2278,1697,7099,442,867,4299,179,503,1652,106,2374,1683,1691,4204,11,3154,2159,681,5445,306,5691,75,8809,16107,510,62,1579,1338,558,806,122
2005,151118,1520,582,3892,2550,23182,2688,492,731,829,15057,4358,154,412,NaN,1584,601,461,1063,3460,32,2540,1734,8839,518,779,5153,270,451,1763,112,2449,1639,2099,6628,18,3223,2546,780,5678,225,5780,37,9972,17514,529,46,2367,1541,833,1327,80
2006,160319,1523,590,5353,2577,23494,2547,467,804,975,15882,4831,188,480,539,701,447,2234,1070,4797,46,2438,1787,9181,1452,910,5517,215,455,2089,140,2609,1604,2521,6804,13,3557,2477,736,5762,179,6071,112,9754,17513,628,70,2080,1544,407,2056,93
2007,155963,1906,589,4863,2565,21547,2154,467,829,11,17244,6042,114,468,595,1719,575,2624,1152,4760,44,2216,1758,8627,1369,792,3660,299,494,2233,130,2235,1531,2328,6060,14,2697,2239,721,5353,201,6058,105,9645,17174,660,69,1998,1914,759,2258,98
2008,154145,2258,535,4842,2316,19126,2029,548,971,847,16697,5476,182,355,760,1735,588,1786,1224,4335,59,2023,1859,7918,1226,860,5904,264,499,1936,167,2063,1742,2190,6658,15,3370,2464,680,5348,304,5602,112,9381,17622,600,60,2146,1805,559,2003,96
2009,146773,1609,540,4053,2515,17297,2059,772,843,728,15015,5186,156,401,624,1723,508,1820,1017,4308,32,1838,1940,8251,1175,822,5789,297,490,1707,191,1969,1596,2276,6110,12,3510,2449,613,4851,320,5685,109,9154,17516,537,62,1819,1719,762,1900,98
2010,137857,1529,543,3618,2548,16937,1936,792,824,606,13295,5160,170,361,805,514,566,2016,1060,3501,48,1761,2043,8231,1058,888,5368,278,531,1554,202,2101,1669,2311,5677,21,3511,2347,614,4984,302,5274,144,8231,15544,603,49,1872,1678,339,1764,79
2011,138336,1607,575,3603,2518,17055,2217,697,738,542,13153,5517,NaN,350,677,1662,589,2016,1067,3938,60,2382,2003,7679,1177,956,5290,269,568,1301,171,2360,1755,2168,5843,31,3688,2089,671,4675,156,5272,151,8555,13998,573,67,1722,1798,780,1495,112
2012,143119,1610,549,4010,2541,17680,2428,711,859,659,13486,5856,0,398,728,2103,649,2046,1021,2737,73,2135,2010,8407,1161,764,5346,280,632,1600,177,2329,1582,2257,7186,20,3101,2202,431,4817,378,5069,252,8635,15227,556,61,1887,1850,578,1953,92
