Year,USA,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LO,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1999,121132,946,221,3144,1058,19908,1084,1461,561,1231,12095,4474,114,64,NaN,2669,251,319,874,4175,NaN,1171,1236,6243,381,1162,2789,41,596,1631,40,4680,1068,1577,5560,14,4631,1128,748,6479,208,1428,18,4555,12785,304,16,2014,1537,123,2307,13
2000,129849,2255,176,3091,939,20962,950,1286,508,1366,11692,5837,135,62,NaN,2478,276,246,874,3545,46,5566,1282,6276,1063,593,3321,18,488,1837,47,4538,952,1916,5986,25,4555,1035,798,6948,220,627,29,5130,13140,299,21,2307,1496,81,2502,29
2001,136141,1414,188,3967,933,22178,1228,1495,173,NaN,12804,6061,119,68,NaN,3278,294,341,1087,4416,50,3451,1434,5402,285,1416,3340,25,455,1982,50,4553,1056,1850,6817,18,5536,1129,650,6640,276,1065,27,5674,15801,320,27,3100,1222,34,2394,18
2002,139657,2528,188,3716,1046,23318,1021,1069,348,1917,12656,6903,130,80,NaN,3272,267,511,953,3928,58,1553,1570,5345,352,1423,3020,47,637,1815,53,4553,856,1621,5854,10,6067,1226,684,6443,249,2552,24,5260,17120,367,14,3143,1155,121,2571,43
2003,137657,1482,135,3616,1031,22122,1036,1104,606,1850,12288,7044,153,78,NaN,2927,244,108,1064,4006,54,4523,2130,5143,292,1176,2743,40,554,2092,93,4331,706,2648,5909,10,4101,1416,702,6952,276,2511,24,5356,16661,424,14,2174,1216,54,2414,24
2004,130554,1516,148,3855,1005,20529,1346,1111,452,1525,11504,4917,112,72,NaN,2913,259,356,1442,3577,61,4273,1777,5262,339,1091,2843,21,515,2019,113,4251,769,2395,3278,9,5500,1353,648,7485,212,2635,19,4820,15784,338,10,2475,1240,150,2204,26
2005,142471,1208,180,3655,1162,21896,1640,1033,550,1782,11946,6286,103,70,NaN,3367,230,103,1607,1908,59,5715,1655,6339,338,918,3412,37,453,1988,75,4397,777,3148,6222,1,6115,1450,579,7657,194,2903,12,5608,16029,304,17,3784,1110,216,2220,13
2006,157275,1519,181,4437,1247,24384,1508,975,729,1546,14352,7540,149,104,208,1598,248,758,1281,2642,78,4913,1765,7000,1657,1380,3557,44,497,3476,75,4313,819,3400,6851,10,6545,1268,614,8558,155,3104,8,6519,16917,363,42,3736,1262,58,2867,18
2007,158240,1579,173,4648,1415,23355,1339,1058,691,62,17911,9647,91,92,249,3382,325,1272,1384,2980,73,4346,1605,6270,1518,1253,2603,46,475,3043,44,4032,908,2713,6208,21,4697,1503,761,8029,146,3054,25,6380,17862,459,28,4057,1336,261,2809,22
2008,163163,2225,167,4986,1279,22047,1191,994,827,1811,16915,9677,109,64,261,3773,295,513,1490,2966,53,4243,1616,6295,1322,1316,3785,29,619,2693,76,4113,950,2831,7288,9,7200,1764,611,7781,215,3402,25,6416,17962,450,22,4166,1481,166,2651,23
