Year,USA,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LO,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1999,16496,435,55,476,234,1532,309,110,38,10,1136,628,22,125,481,368,160,166,334,380,87,239,118,542,228,244,426,92,105,259,49,195,180,432,567,39,626,310,309,709,24,287,52,497,1224,153,29,503,450,169,299,54
2000,16527,427,96,489,244,1487,350,111,39,0,1186,588,28,107,431,411,157,186,373,321,98,240,105,531,223,220,434,105,113,241,67,154,175,450,621,28,584,301,302,756,25,297,46,501,1269,174,42,484,390,173,304,43
2001,16785,387,61,468,274,1450,390,113,52,19,1197,626,25,136,505,411,157,160,331,345,86,217,102,542,242,239,427,133,103,219,71,167,188,453,632,33,671,324,280,684,17,311,42,480,1377,182,25,467,391,195,317,61
2002,17034,381,87,559,257,1490,380,85,29,10,1205,614,20,137,466,448,157,184,364,349,72,229,99,578,238,254,423,115,100,245,57,176,211,408,630,53,675,312,286,720,30,304,45,521,1315,174,45,491,437,188,308,73
2003,16880,399,76,486,258,1505,363,87,42,10,1242,656,22,137,404,418,178,211,400,316,66,236,122,523,244,247,411,120,89,247,75,183,211,412,619,41,572,281,331,724,11,328,57,493,1350,181,32,452,436,191,310,75
2004,16699,375,89,509,232,1366,402,105,36,0,1197,605,26,151,387,385,155,204,377,371,97,244,93,532,268,245,389,105,82,249,57,185,196,401,608,41,657,312,299,722,18,328,59,526,1318,183,54,494,423,192,308,42
2005,16937,369,81,514,262,1329,396,112,42,0,1163,590,21,160,424,416,170,188,373,339,100,217,109,554,255,251,427,135,98,262,79,136,178,456,632,56,668,302,319,768,15,314,67,552,1381,190,20,511,398,188,302,48
2006,16819,400,68,563,247,1319,371,79,42,0,1227,600,16,145,372,442,149,211,383,322,87,238,100,598,243,219,444,102,99,255,69,173,193,412,660,41,626,314,307,734,16,315,69,569,1311,189,40,499,397,179,299,66
2007,17293,396,87,552,244,1422,396,78,46,10,1284,641,26,147,423,392,133,213,422,328,90,230,105,558,265,279,452,120,88,270,71,165,189,434,607,49,659,315,327,719,16,311,43,545,1411,197,37,487,413,205,338,58
2008,18182,424,116,540,275,1478,387,109,41,11,1397,616,27,149,438,450,180,185,394,345,103,259,112,570,289,286,421,132,94,291,85,167,195,429,669,55,684,346,319,770,19,343,64,609,1506,196,41,524,439,172,344,87
2009,18685,479,76,605,285,1519,454,86,33,0,1472,743,31,176,402,458,160,200,403,325,106,252,89,575,281,269,471,136,85,295,82,173,192,422,678,45,590,363,345,825,39,377,59,574,1583,217,53,527,470,178,345,82
2010,19333,454,99,620,266,1492,427,109,43,11,1454,718,33,182,442,455,168,210,404,377,95,222,134,601,280,256,489,141,101,289,102,181,204,459,707,47,724,376,376,762,29,392,65,585,1702,275,64,576,464,210,378,83
2011,19937,452,99,674,299,1564,443,111,36,0,1490,742,33,167,461,411,185,233,453,377,113,238,112,619,322,268,513,152,108,272,75,181,221,505,728,51,726,440,343,883,17,426,58,591,1684,268,65,604,495,200,351,78
2012,20620,500,98,663,307,1549,533,111,46,0,1550,750,39,176,490,513,175,297,469,375,112,269,143,623,310,296,546,153,109,274,98,156,230,516,709,63,784,411,367,819,17,433,75,626,1744,283,49,587,529,198,348,102
2013,21135,504,120,655,322,1571,489,86,60,0,1566,747,23,200,496,523,221,241,453,408,137,257,112,674,339,279,556,147,102,292,81,194,222,465,771,76,800,433,389,918,26,470,68,676,1780,295,56,601,483,225,437,89
2014,21336,479,115,683,323,1582,539,120,59,13,1538,841,29,182,533,528,194,238,470,444,116,275,130,671,308,251,588,149,125,309,110,189,244,474,760,85,744,435,422,897,14,470,70,644,1789,278,55,626,551,217,352,78
2015,21962,528,123,707,342,1559,541,101,55,10,1630,823,37,215,495,517,193,224,499,468,124,241,112,692,304,292,605,174,114,293,107,180,275,421,787,76,861,468,373,932,26,469,73,638,1994,313,57,630,537,215,424,88
2016,22890,550,113,755,331,1595,613,107,59,0,1672,871,34,215,506,591,228,257,495,440,107,247,140,717,332,268,650,162,116,334,123,169,243,490,788,75,926,517,414,976,26,525,83,675,2016,309,64,671,515,238,455,87
