Year,USA,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LO,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1998,65.5165084313448,56.379821958457,52.9411764705882,74.5901639344262,67.2043010752688,68.4426229508197,56.6473988439306,59.2592592592593,54.5454545454545,0,NaN,63.0859375,33.3333333333333,45.4545454545455,77.4058577405858,72.9222520107239,56.5217391304348,0,67.7966101694915,76.3602251407129,32,66.1386138613861,53.448275862069,66.0028449502134,47.1153846153846,58.8571428571429,66.6666666666667,50,47.8260869565217,68.0232558139535,25,46.4831804281346,61.5942028985507,59.2674805771365,60.9797297297297,50,59.8314606741573,62.6262626262626,63.7096774193548,69.5798319327731,50,65.4485049833887,80,71.0462287104623,67.1081677704194,58.3333333333333,33.3333333333333,68.5929648241206,55.6122448979592,67.6056338028169,0,50
1999,65.6191369606004,85.7142857142857,52,71.4666666666667,68.6131386861314,67.7015523284927,56.8181818181818,71.2962962962963,72,0,NaN,69.7341513292434,40.5405405405405,60,72.397476340694,72.8155339805825,55.3191489361702,0,65.0602409638554,70.4444444444444,62.5,74.1176470588235,60.7142857142857,67.7098150782361,40,77.7777777777778,67.4050632911392,62.5,26.9230769230769,63.1901840490798,23.5294117647059,53.3101045296167,53.3333333333333,56.5121412803532,66.8582375478927,50,58.5014409221902,68.2403433476395,51.7241379310345,73.0357142857143,52.9411764705882,69.2015209125475,38.4615384615385,66.1290322580645,62.0307167235495,60,50,67.3239436619718,55.2795031055901,69.6969696969697,71.978021978022,27.2727272727273
2000,65.6580937972768,64.8068669527897,44.1176470588235,71.3498622589532,70,70.9510357815443,53.2258064516129,63.4408602150538,48.1481481481481,0,NaN,71.2788259958071,22.8571428571429,70.5882352941177,65.8730158730159,68.0701754385965,41.304347826087,51.1627906976744,68.5714285714286,73.9884393063584,40,69.8660714285714,45.8715596330275,70.9480122324159,58.3333333333333,63.0952380952381,69.3939393939394,66.6666666666667,65.3846153846154,66.9230769230769,35.7142857142857,52.0689655172414,55.5555555555556,61.3418530351438,66.3636363636364,25,51.830985915493,61.2565445026178,66.6666666666667,73.6111111111111,71.1111111111111,64.8550724637681,12.5,67.4074074074074,61.4389652384802,36.1702127659574,44.4444444444444,66.3101604278075,55.6701030927835,66.1016949152542,66.8639053254438,41.6666666666667
2001,62.6518716201981,66.865671641791,57.5757575757576,73.0310262529833,64.2857142857143,71.9408337068579,55.7142857142857,69.6428571428571,60,100,NaN,69.6914700544465,31.4285714285714,59.375,32.67776096823,69.3877551020408,36.9565217391304,53.3333333333333,70.8860759493671,75.2620545073375,31.5789473684211,73.0434782608696,50.6849315068493,71.5610510046368,50.9090909090909,70.7182320441989,64.2276422764228,68.75,47.0588235294118,60.427807486631,43.75,52.6162790697674,53.3333333333333,44.6808510638298,64.6216768916155,62.5,61.3583138173302,62.2448979591837,47.1264367816092,72.5293132328308,48.6486486486486,64.2405063291139,40,64.0776699029126,62.3547637490318,52.112676056338,75,58.9041095890411,55.9139784946237,47.5,63.5359116022099,60
2002,66.9941060903733,64.9305555555556,55,76.5402843601896,75.3424657534247,72.9192546583851,61.3496932515337,60.7142857142857,79.3103448275862,0,NaN,72.8055077452668,45.8333333333333,47.0588235294118,74.6543778801843,64.1693811074919,56.5217391304348,40,63.855421686747,78.0399274047187,50,67.8294573643411,48.1707317073171,69.6124031007752,54.3103448275862,64.3243243243243,68.1547619047619,38.4615384615385,42.1052631578947,63.3879781420765,69.2307692307692,60.1246105919003,55.6338028169014,59.5936794582393,67.9924242424242,40,61.2159329140461,55.1136363636364,60,71.4285714285714,63.4146341463415,67.0068027210884,27.2727272727273,66.9833729216152,62.0874904067536,56.3636363636364,66.6666666666667,68.7150837988827,52.0408163265306,64.1791044776119,69.1358024691358,43.75
2003,67.1243325705568,71.3310580204778,57.5,69.7777777777778,67.5324675324675,72.6021853500607,62.0111731843575,51.685393258427,66.6666666666667,0,NaN,68.5430463576159,39.1304347826087,50,81.4189189189189,75.7475083056478,40.4255319148936,60.2564102564103,70,78.5340314136126,50,70.5202312138728,51.8796992481203,71.2624584717608,61.5384615384615,68.1318681318681,63.3116883116883,61.1111111111111,30,59.6858638743456,25,60.8478802992519,50.9259259259259,62.6274065685164,62.2362869198312,80,53.3613445378151,64.6788990825688,52.6315789473684,69.4888178913738,70.8333333333333,66.4359861591695,36.3636363636364,66.5847665847666,63.4269258459323,62.2222222222222,36.3636363636364,67.4242424242424,51.0526315789474,57.8947368421053,69.3548387096774,52.9411764705882
2004,66.3866134565567,64.0316205533597,48.780487804878,74.245939675174,63.5761589403973,72.7124847498983,60.377358490566,56.25,62.962962962963,0,NaN,64.0926640926641,22.5806451612903,60,75.6989247311828,69.8961937716263,47.7272727272727,58.5714285714286,62.200956937799,78.7272727272727,52.9411764705882,75.0483558994197,59.2814371257485,71.7532467532468,68.695652173913,70.6214689265537,68.0115273775216,40.7407407407407,57.1428571428571,65.7303370786517,33.3333333333333,60.3448275862069,52.112676056338,57.6617480136209,58.5987261146497,50,51.7391304347826,59.7989949748744,57.843137254902,71.2328767123288,60,69.6428571428571,35.7142857142857,63.2876712328767,64.6755162241888,49.0909090909091,25,67.0422535211268,59.0673575129534,62.0689655172414,64.2857142857143,30.7692307692308
2005,68.085249428533,68.0124223602485,63.8888888888889,75.9725400457666,68.7861271676301,74.613248710829,64.2857142857143,54.3689320388349,57.8947368421053,0,NaN,72.3107569721115,8,67.6470588235294,75,73.7341772151899,51.2820512820513,53.0612244897959,70.2857142857143,78.5888077858881,42.1052631578947,75.9856630824373,55.5555555555556,67.8048780487805,62.1621621621622,68.3544303797468,69.5863746958638,31.5789473684211,40,62.3255813953488,38.8888888888889,67.7966101694915,50.381679389313,57.9008073817762,60.8695652173913,18.1818181818182,57.2778827977316,69.3121693121693,59.5744680851064,71.5832205683356,50,68.3006535947712,42.8571428571429,70.2830188679245,67.0258620689655,49.1525423728814,66.6666666666667,68.6635944700461,62.200956937799,54.2857142857143,67.9069767441861,52.9411764705882
2006,68.1745821172725,70.4545454545455,65.8536585365854,73.2217573221757,70.1570680628272,74.0711462450593,57.8947368421053,63.7254901960784,66.6666666666667,0,NaN,74.5166959578207,30,59.375,81.3524590163934,71.6510903426791,36.1702127659574,55.2845528455285,64.8648648648649,79.7916666666667,52.1739130434783,74.4485294117647,59.8901098901099,68.7776141384389,64.2276422764228,68.3908045977011,71.9879518072289,25,29.4117647058824,63.963963963964,27.2727272727273,67.5990675990676,61.4678899082569,43.9829605963791,64.6616541353384,14.2857142857143,67.6288659793814,66.0194174757282,53,76.2532981530343,33.3333333333333,69.208211143695,11.1111111111111,67.688679245283,69.0373563218391,41.6666666666667,50,66.3101604278075,59.3582887700535,55.5555555555556,60.9756097560976,55.5555555555556
2007,68.071042264806,73.9583333333333,45.8333333333333,69.0573770491803,66.2921348314607,71.8321917808219,58.7096774193548,60.1941747572816,61.5384615384615,0,NaN,73.5820895522388,26.9230769230769,55.5555555555556,74.8917748917749,69.7247706422018,37.5,62.8571428571429,65.7894736842105,79.2321116928447,53.8461538461538,75.6660746003552,64.0449438202247,67.0906200317965,53.3980582524272,77.8523489932886,68.7179487179487,73.3333333333333,38.0952380952381,65.8536585365854,55.5555555555556,68.6170212765958,54.7169811320755,62.2886866059818,64.1121495327103,16.6666666666667,60.7758620689655,61.9246861924686,49.3827160493827,71.8459495351926,50,68.1286549707602,28.5714285714286,63.0484988452656,67.5805346127485,65.5172413793103,66.6666666666667,67.8378378378378,60.233918128655,58.6206896551724,66.4804469273743,44.4444444444444
