Year,USA,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LO,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1999,18.0069220704707,24.2947865898686,22.125723738627,26.614038308549,23.3988838692533,13.9647564175866,20.17125382263,8.37909932527852,17.8561192318716,18.2448537378115,15.338917133549,22.5427481855087,9.97766195085629,21.5099114297765,NaN,17.4872828486419,8.91089108910891,23.4723569350145,15.2925780519723,23.350633795788,NaN,15.1328986960883,5.72520780548518,23.7778576563623,18.7218353133961,32.9794520547945,28.0483079307672,14.8089171974522,15.792507204611,15.1381657989588,6.8259385665529,12.8860976306023,22.4925149700599,8.47103844146808,26.2515009730446,2.94117647058824,17.596793708409,15.9458174904943,13.5451080050826,20.5593183307844,16.5648336727766,21.2026100602957,14.2640364188164,28.2848085425878,20.4225060978131,14.2445582586428,10.7784431137725,13.861926055186,16.8487742172436,23.990568818155,16.8495995253634,10.414201183432
2000,18.0569509550129,25.0789768674208,16.7855444602948,24.9802130898021,20.2715693342946,15.1694369934423,19.2975149243371,10.4452054794521,17.963224893918,17.8742907027499,13.9810373172984,24.2928959528767,8.48275862068965,23.8440962934658,NaN,15.09817885848,8.9851810166948,17.1227521501173,21.2186379928315,23.9517583408476,3.58024691358025,15.3619043225539,6.4206557751628,22.9426964584283,16.4805596663528,22.5232511120097,25.6579364576067,8.2046332046332,18.9811223170416,15.3176851477135,16.5085388994307,14.1653994619254,21.3015559397382,10.4521072796935,26.3923910639239,1.4760147601476,17.5127108385118,16.0364253742862,11.5720524017467,20.7060955908428,12.4712643678161,19.7684391080617,11.9278779472954,28.8663220088626,20.2476130807262,16.4530797850351,10.0890207715134,17.5943524300842,16.8278529980658,21.0957501280082,18.2148160369576,10.0093545369504
2001,18.2874257766132,23.6670687575392,20.2047174009791,23.9219114219114,21.3198757763975,16.05944499014,18.0297397769517,10.7270366764038,18.1046676096181,NaN,14.1306642078718,22.814784309688,11.3428943937419,25.1207729468599,NaN,15.107522003448,9.8111658456486,15.3215636822194,18.0254557963536,27.2489455982062,2.67314702308627,12.1952549768203,8.00677822495234,23.6581999925404,12.0600115406809,26.8597761685319,23.1602836879433,17.0749814402376,16.2804694553115,13.1206788183532,13.6042402826855,14.3343507865696,20.5830830830831,10.1665205959684,25.3024701730802,4.83870967741935,18.7962642684192,16.3285241959723,11.2398042414356,21.3433146184238,13.9357648339684,22.8767123287671,13.373253493014,30.8920853592653,20.3957302102071,15.8412235979607,7.5801749271137,17.728280588591,13.8357705286839,19.9537304800463,14.7435897435897,10.2261553588987
2002,19.0001283195792,26.4101154480484,19.1240242844753,24.4153364798218,23.3527645292351,17.5982593184894,18.8085327783559,10.9520021214532,16.4481525625745,18.6819830713422,14.7459092874536,23.7542801655849,10.5548037889039,22.9724485836244,NaN,14.4994559303591,9.08053472448647,16.9051287695355,14.9938042131351,27.3440564927423,2.31923601637108,13.019508057676,7.54060324825986,20.7062694635407,10.7621009268795,28.7327920931874,18.589562764457,13.060760931289,14.8636763412489,15.9766763848396,13.1818181818182,14.5512545242623,20.9962317475271,9.67240117130308,27.0841035120148,3.27868852459016,21.0266133947315,16.3678696158324,12.6751054852321,21.0736293253279,15.9505591524426,22.8279312595171,11.4247311827957,31.7227396130451,21.1651352730985,17.9347826086957,15.0819672131148,18.6322804984063,13.4123711340206,31.2175418349683,17.1312032630863,9.18273645546373
2003,19.116585664185,23.826714801444,18.2724252491694,26.9905161005734,22.3339742641621,17.4015551322487,18.6980947728383,9.75418410041841,17.2298240714884,19.6692776327241,15.1182472142555,26.4132285886942,10.0922409115572,18.4,NaN,12.404663802928,7.65657260839642,16.2018592297477,14.1825534373195,27.7113402061856,3.93700787401575,13.8245369563955,9.35578183284605,21.8076911458176,11.5125535823637,26.8930523028884,20.1155765694773,17.6991150442478,14.9856824689787,21.2401232087853,15.7608695652174,15.7622255489022,21.2570412096057,11.646751819805,28.0887011615628,3.91304347826087,18.5968109339408,16.1456303110626,12.1542330259849,21.4909676872191,20.8868144690782,22.3035061111607,14.6907216494845,31.401448913315,21.6342082980525,16.7845066092837,15.9420289855072,16.546550963377,13.7117026619789,25.7326661901358,16.6636803440244,10
2004,19.288877457449,23.5310046033035,15.0590551181102,26.5974138397446,24.2864054184809,17.9858038796247,20.1751852921359,11.2311015118791,17.4446337308348,19.8840725806452,15.7145178513394,25.5082524615712,9.89259468626343,20.1323987538941,NaN,14.3849961919269,9.06079178399867,26.9143290371494,12.2959508161967,25.7218910942654,4.71698113207547,13.2657815047752,9.3354604466938,22.5780802747917,11.5434839383651,27.2984886649874,22.7388130752142,11.9973190348525,14.6220930232558,19.7891710589363,13.8020833333333,14.7243068907772,19.0384615384615,10.9131978057438,26.3161189358372,4.11985018726592,21.804355340477,16.8645524136854,11.9306236860547,21.5072875933167,19.1729323308271,23.4535338965588,10.9809663250366,29.9799203621141,21.3759605048374,16.6123778501629,14.7619047619048,17.8116187253243,13.1731810573988,25.5494505494506,13.5507733691997,12.8556375131718
2005,20.9664216482001,27.0655270655271,19.1762767710049,25.7680084745763,25.6384476171325,20.3968149223527,22.3962672887852,12.6543209876543,20.2380952380952,20.8763535633342,17.082855878649,26.9678217821782,9.4536525475752,18.1657848324515,NaN,16.3653269965906,9.30196563999381,16.3185840707965,20.4344482891196,24.5111929725135,3.95550061804697,15.6153940735276,10.4665902094525,24.7771486236475,12.9144851657941,31.0853950518755,24.7336085245272,15.6340474811812,13.7709923664122,20.4548091425919,13.5757575757576,15.2310467068848,21.0128205128205,12.428943628612,28.8324343135549,4.89130434782609,23.5221135600642,19.4961329351405,12.3320158102767,22.0077519379845,15.6358582348853,24.2897966044713,10.0271002710027,31.5479768420387,23.2635983263598,16.2969808995687,12.1372031662269,21.6302659234214,14.1350210970464,26.2610340479193,18.2430574649436,8.73362445414847
2006,21.9245954413734,31.0626147256782,17.5909361955874,29.4849903607822,25.5300178323757,21.1035957135286,20.9664142245637,14.3075980392157,22.0879120879121,21.2464589235127,18.2925986501117,27.9248554913295,10.3353490929082,18.1749337372208,47.488986784141,13.769396975054,8.66446985849971,29.7074468085106,20.2191987906274,27.6118114315317,5.8974358974359,15.7391865719819,10.9316694194653,25.2878312124718,17.1915699739522,31.6962730755834,25.2760342694828,13.9701104613385,15.0762094102054,20.5246610336019,15.8371040723982,16.6741228350483,21.7285288539691,13.9151073577303,28.6641108817458,2.4904214559387,26.7222597851401,19.5316196183567,13.3769538349691,21.479962721342,13.8867339022498,25.4517251498763,17.1253822629969,30.5710524666207,23.7155702407713,18.2823871906841,12.4777183600713,18.8065099457505,14.9815641373957,27.9725085910653,23.2526577697354,9.44162436548223
2007,21.3726116264442,29.1526460691343,17.8864257515943,28.6868806040585,26.165459553198,19.9696012011233,19.5587033505857,12.5066952329941,21.6279676493608,9.16666666666667,20.2327873468813,26.7712348797022,8,17.3654916512059,44.3368107302534,17.1095849507316,9.36329588014981,30.3633418190234,20.545746388443,25.2519893899204,5.54854981084489,14.5722364700467,10.049734179386,25.1106065898242,17.3973821324184,30.6738962044926,21.046578493387,13.8425925925926,14.8037159124963,20.3240192955311,18.2328190743338,15.3450051493306,19.7421018697614,13.2551386437397,28.6579022037265,2.38500851788756,22.980572597137,17.9723872210628,11.6742227979275,20.2251860807798,18.9622641509434,24.8665955176094,13.4961439588689,29.7272306981045,23.4377345615831,18.1568088033012,12.4773960216998,18.7799605226055,15.5319321593768,23.5202974899287,24.0366191185863,10.0926879505664
2008,21.3919439336641,29.4816555686121,16.1778046567886,28.525980911983,24.0224043149051,18.4095021753359,19.2687559354226,11.9260065288357,25.0257731958763,22.8486646884273,20.1944824082921,27.1008611303573,9.85915492957746,14.7732001664586,51.2820512820513,16.2834350070389,9.6,26.2608439935304,20.7001522070015,26.046986721144,7.3019801980198,13.5945164975472,9.92048668552217,26.190791214607,16.6304937601736,34.55202892728,29.5895354082093,13.6152656008252,14.8821950492097,17.4430128840436,16.3245356793744,15.2127424231251,22.6941115164148,13.034938396524,31.1005231689088,2.04359673024523,23.8482768381572,18.5360716166403,11.7932708983698,19.7045060977856,21.1699164345404,26.3202405562864,11.8895966029724,30.8514486795804,23.1020333250305,16.3398692810458,9.85221674876847,21.1657954433376,15.1083954130744,21.8359375,22.2259209942299,10.1159114857745
