Year,USA,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LO,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1999,59.9680093063836,82.6996197718631,72.3684210526316,66.1111111111111,79.3220338983051,50.4113195129977,56.697247706422,44,65.5172413793103,100,56.5174129353234,75.1196172248804,21.1538461538462,74.4047619047619,48.1,63.6678200692042,58.3941605839416,59.4982078853047,77.4941995359629,80.5084745762712,62.1428571428571,62.2395833333333,29.426433915212,57.8441835645678,56.2962962962963,83.8487972508591,64.9390243902439,70.2290076335878,68.6274509803922,68.8829787234042,52.6881720430108,37.0018975332068,61.0169491525424,37.2735116479724,68.1490384615385,70.9090909090909,59.1682419659735,67.5381263616558,70.0680272108844,56.8564554931836,47.0588235294118,74.7395833333333,65,71.3055954088953,62.4171341152473,57.3033707865169,100,67.1562082777036,58.1395348837209,86.6666666666667,55.0644567219153,80.5970149253731
2000,59.631968248241,78.6372007366483,80,66.4402173913043,72.8358208955224,50.7162346521146,60.1374570446735,41.4179104477612,69.6428571428571,NaN,57.5448811256672,73.0434782608696,24.7787610619469,74.8251748251748,43.9795918367347,65.5502392344498,60.3846153846154,61.7940199335548,77.3858921161826,77.536231884058,76.5625,53.6912751677852,29.5774647887324,57.7173913043478,55.4726368159204,83.6501901140684,66.0578386605784,75.5395683453237,67.6646706586826,63.0890052356021,62.037037037037,29.7872340425532,58.5284280936455,40.9463148316651,67.6470588235294,65.1162790697674,56.6990291262136,64.1791044776119,65.3679653679654,56.5022421524664,48.0769230769231,74.4360902255639,70.7692307692308,72.9257641921397,62.7596439169139,62.3655913978495,79.2452830188679,65.0537634408602,56.9343065693431,82.3809523809524,55.3734061930783,62.3188405797101
2001,58.1117573743249,80.625,76.25,63.5869565217391,77.1830985915493,51.6381766381766,57.1010248901903,46.6942148760331,70.2702702702703,100,52.8243601059135,70.5749718151071,25.7731958762887,70.4663212435233,45.7842248413418,61.9909502262443,55.8718861209964,62.015503875969,73.8839285714286,77.1812080536913,67.1875,52.7980535279805,25.7575757575758,54.2542542542543,57.0754716981132,78.3606557377049,62.7941176470588,83.125,62.8048780487805,60,52.9850746268657,29.5575221238938,56.6265060240964,36.6801619433198,67.1625929861849,67.3469387755102,56.2919463087248,68.6440677966102,59.8290598290598,55.5194805194805,33.3333333333333,71.6589861751152,48.8372093023256,72.3981900452489,62.8193430656934,60.4651162790698,67.5675675675676,62.3497997329773,57.9259259259259,78.9473684210526,52.396694214876,84.7222222222222
2002,56.8046153333111,79.375,73.109243697479,66.3107947805457,74.2774566473989,46.5188885419919,54.9132947976879,37.6106194690265,65.9090909090909,100,52.2776572668113,72.3203769140165,20.6185567010309,76.1111111111111,41.7937219730942,64.6464646464647,54.1379310344828,59.3548387096774,72.9458917835671,78.4269662921348,54.5454545454545,51.6930022573363,23.6842105263158,53.968253968254,51.4038876889849,80.6349206349206,64.5801526717557,68.8622754491018,56.4971751412429,62.3409669211196,64.0449438202247,35.2705410821643,66.5615141955836,34,66.5961945031712,76.8115942028985,54.3041029766693,67.2413793103448,59.3360995850622,55.045871559633,44.7761194029851,77.5510204081633,60,70.8843537414966,57.9040070453545,54.2056074766355,70.3125,62.7075351213282,56.3144329896907,78.6610878661088,52.7397260273973,87.9518072289157
2003,56.432201123295,80.7692307692308,76,61.2862547288777,73.0878186968839,44.6720094983675,51.7831669044223,37.1794871794872,66.6666666666667,47.6190476190476,54.9314462627156,71.8510405257393,21.7821782178218,72.1052631578947,41.7355371900826,60.5797101449275,55.1083591331269,65.527950310559,76.4818355640535,76.144578313253,61.6822429906542,53.0337078651685,30.1980198019802,52.2477522477522,52.3605150214592,77.1875,63.1336405529954,74.0740740740741,56.3291139240506,59.5180722891566,56.8181818181818,32.7956989247312,68.2847896440129,36.077057793345,67.94731064764,65.0793650793651,54.7892720306513,62.8635346756152,57.8671328671329,55.0570342205323,22,75.0572082379863,69.5121951219512,68.4722222222222,58.0645161290323,60.5351170568562,58.1818181818182,58.5492227979275,55.8258642765685,83.0434782608696,50.9868421052632,77.319587628866
2004,54.2122520533714,74.5526838966203,65.4411764705882,59.9528857479388,68.4365781710914,41.008706094266,52.6178010471204,41.1764705882353,63.1578947368421,0,50.8928571428571,64.5677694770544,29.8850574712644,72.9468599033816,39.0514631685166,57.6347305389222,50.4885993485342,60.8955223880597,72.2222222222222,74.7983870967742,76.984126984127,52.3605150214592,23.5443037974684,50.763358778626,56.5400843881857,74.9235474006116,58.1464872944694,64.8148148148148,57.3426573426573,59.0047393364929,53.7735849056604,32.3426573426573,59.5744680851064,34.8090277777778,63.0051813471503,65.0793650793651,51.288056206089,66.5245202558635,58.1712062256809,52.1676300578035,32.7272727272727,74.8858447488584,64.1304347826087,69.2105263157895,58.1898454746137,53.0434782608696,71.0526315789474,61.4427860696517,52.3514851485149,75.5905511811024,48.8888888888889,71.1864406779661
2005,54.7839306507957,73.5059760956175,74.3119266055046,57.3660714285714,69.1292875989446,41.8582677165354,51.228978007762,43.921568627451,66.6666666666667,NaN,50.30276816609,67.0454545454545,29.1666666666667,76.555023923445,40.0756143667297,59.8561151079137,56.6666666666667,56.6265060240964,70.1127819548872,73.8562091503268,68.9655172413793,50.7009345794393,24.1685144124169,51.921274601687,49.3230174081238,74.7023809523809,62.6099706744868,75,56.6473988439306,59.1422121896163,66.3865546218487,27.0916334661355,58.3606557377049,39.7905759162304,64.3584521384929,73.6842105263158,51.4241724403387,63.5789473684211,60.6463878326996,55.4112554112554,31.25,65.8280922431866,66.3366336633663,67.0716889428919,58.1718618365628,61.6883116883117,50,61.6405307599518,50.7006369426752,84.6846846846847,49.9173553719008,73.8461538461538
2006,53.1406003159558,72.463768115942,66.0194174757282,59.8936170212766,73.2937685459941,39.7528631705847,54.0029112081514,31.2252964426877,56.7567567567568,NaN,51.188986232791,67.5675675675676,18.3908045977011,74.3589743589744,38.1538461538462,56.5217391304348,49.0131578947368,64.1337386018237,67.0753064798599,72.1973094170404,62.589928057554,50.5307855626327,22.9885057471264,54.2157751586582,45.8490566037736,73.9864864864865,58.498023715415,62.962962962963,54.0983606557377,54.6038543897216,49.6402877697842,32.2160148975791,61.6613418530351,31.937984496124,62.3818525519849,59.4202898550725,48.7918939984412,63.5627530364373,55.5153707052441,54.249815225425,30.7692307692308,64.2857142857143,69.6969696969697,68.6369119420989,56.6551426101988,55.2631578947368,70.1754385964912,59.0532544378698,50.8322663252241,75.2100840336134,47.1608832807571,68.0412371134021
2007,52.5974815986374,70.8407871198569,68.503937007874,56.9659442724458,64.7214854111406,39.8766124509254,51.4285714285714,33.7662337662338,66.6666666666667,100,50.4915454187967,67.1204188481675,24.5283018867925,70.3349282296651,39.2029657089898,52.6174496644295,45.8620689655172,60.8571428571429,69.4078947368421,69.4915254237288,52.6315789473684,47.9166666666667,22.3880597014925,50.7272727272727,50,75,59.6306068601583,68.5714285714286,57.1428571428571,60.5381165919283,55.0387596899225,29.7833935018051,49.7368421052632,32.3880597014925,59.0466926070039,70,52.5937749401437,63,57.2679509632224,51.4674302075877,29.6296296296296,62.3246492985972,53.75,67.8704856787049,58.9144050104384,55.8073654390935,58.7301587301587,56.9590643274854,50.1822600243013,74.8175182481752,48.5632183908046,81.6901408450704
2008,52.9855748215066,74.6478873239437,71.6049382716049,58.695652173913,67.7339901477832,39.4343649946638,50.5882352941176,40.3703703703704,53.9473684210526,44,51.4928123848139,64.1666666666667,25.7142857142857,64.5021645021645,37.5321336760925,60.0801068090788,50.9915014164306,60.655737704918,70.1067615658363,70.5521472392638,70.5479452054795,57.5555555555556,24.0860215053763,49.6083550913838,51.0600706713781,76.063829787234,56.510067114094,76.7441860465116,55.2941176470588,59.3877551020408,54.140127388535,29.2982456140351,51.3157894736842,31.5441176470588,59.2559787422498,73.3333333333333,49.963476990504,62.1184919210054,58.9648798521257,51.3675783855904,22.8915662650602,65.0853889943074,65.979381443299,65.9090909090909,59.8569157392687,54.1436464088398,61.1940298507463,57.0806100217865,51.7078916372203,76.7857142857143,49.002849002849,82.0754716981132
