Year,USA,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LO,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,62,1,3,3,4,8,0,1,0,0,0,3,0,0,4,0,0,0,1,6,0,3,0,0,0,0,0,1,0,0,0,1,3,0,0,1,1,3,0,0,0,0,0,0,13,0,0,0,2,0,0,0
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,86,0,2,13,1,3,2,0,0,0,0,7,0,0,7,1,0,1,0,3,0,1,0,0,1,4,4,0,0,2,1,0,4,2,0,0,3,2,3,1,0,0,0,0,11,0,0,0,5,0,1,1
2003,80,0,1,9,1,6,3,0,0,0,0,5,0,0,2,1,0,0,0,5,0,1,0,0,3,0,11,0,0,0,0,1,0,1,2,0,4,4,0,3,0,0,0,0,14,0,0,0,3,0,0,0
2004,80,0,2,10,0,7,2,0,0,0,0,4,0,0,7,3,0,0,0,3,1,1,0,0,3,1,2,1,0,4,0,0,5,0,3,0,1,2,2,3,0,0,0,0,6,0,0,0,7,0,0,0
2005,70,0,3,5,0,5,0,0,0,0,0,4,0,0,3,1,0,0,1,7,0,2,0,0,1,1,4,0,0,3,0,3,1,0,2,0,1,1,3,2,0,0,0,0,11,0,0,0,4,0,2,0
2006,86,1,3,4,1,6,1,1,0,0,0,7,0,0,3,1,0,0,1,5,2,1,0,0,1,2,2,0,0,2,0,7,2,0,3,0,2,2,2,3,0,0,0,0,13,0,0,0,6,0,2,0
2007,83,0,0,12,0,10,1,2,0,0,0,5,0,0,0,2,0,0,1,6,0,1,0,0,0,2,3,0,0,0,0,0,2,0,2,0,3,7,1,2,0,0,0,0,18,0,0,0,3,0,0,0
2008,69,0,2,4,0,6,0,0,0,0,0,5,0,0,4,1,0,0,0,4,0,2,0,0,1,2,2,0,0,3,0,2,0,0,5,0,0,0,0,1,0,0,0,0,15,0,0,0,9,0,1,0
2009,92,0,1,7,0,7,3,0,0,0,0,10,0,0,2,1,0,0,1,4,0,1,0,0,1,4,3,0,2,4,0,2,1,0,3,0,0,4,3,4,0,0,0,0,21,1,0,0,2,0,0,0
2010,72,0,2,5,0,5,1,0,0,0,0,3,0,0,3,5,0,0,0,3,0,2,0,0,2,3,4,0,0,2,0,2,1,0,6,0,1,2,1,5,0,0,0,0,10,0,0,0,3,0,1,0
2011,75,0,0,7,0,2,1,0,0,0,0,9,0,0,4,3,0,0,0,4,3,1,0,0,2,4,0,0,0,3,0,1,1,0,2,0,0,0,1,6,0,0,0,0,17,1,0,0,2,0,0,1
2012,57,0,4,1,0,6,0,0,0,0,0,2,0,0,4,3,0,0,0,3,1,2,0,0,2,3,1,0,0,3,0,1,0,0,2,0,0,0,0,3,0,0,0,0,11,1,0,0,2,0,1,1
2013,69,0,3,10,0,4,0,1,0,0,0,5,0,0,2,1,0,0,0,4,0,1,0,0,1,2,4,0,0,2,0,0,3,0,2,0,3,0,2,4,0,0,0,0,13,0,0,0,2,0,0,0
2014,59,0,1,2,0,6,0,0,0,1,0,4,0,0,3,0,0,0,0,7,0,0,0,0,2,0,4,0,1,2,0,0,0,0,2,0,3,1,0,5,0,0,0,0,14,1,0,0,0,0,0,0
2015,80,0,2,1,0,10,0,1,0,0,0,12,0,0,4,2,0,0,0,12,2,1,0,0,2,0,1,0,0,1,0,0,0,2,1,0,0,1,1,1,0,0,0,0,20,0,0,0,0,0,3,0
2016,95,0,4,0,0,9,0,0,0,1,0,7,0,0,4,5,0,0,0,11,0,1,0,0,3,1,6,0,0,3,0,1,1,4,3,1,0,1,0,2,0,0,0,0,23,0,0,0,1,0,2,1
