Year,OwnGuns,GunsAtHome,GunsOnProperty,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LO,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
2000,40.8102766798419,38.9328063241107,3.07443365695793,66.6666666666667,NaN,43.75,71.4285714285714,33.3333333333333,42.1052631578947,40,33.3333333333333,0,31.9148936170213,62.5,NaN,55.5555555555556,30.4347826086957,56,40,36.3636363636364,37.5,62.5,46.1538461538462,41.1764705882353,5.26315789473684,42.1052631578947,41.6666666666667,75,48.1481481481481,33.3333333333333,55.5555555555556,40,66.6666666666667,12.5,66.6666666666667,28.125,53.3333333333333,50,50,50,83.3333333333333,30.188679245283,28.5714285714286,36,100,30,50.8196721311475,20,80,23.3333333333333,39.1304347826087,40,52.9411764705882,0
2001,40.3560830860534,40.3560830860534,NaN,50,NaN,50,75,31.4814814814815,55.5555555555556,27.2727272727273,0,0,40.3846153846154,52.1739130434783,NaN,62.5,29.7297297297297,56.25,62.5,12.5,62.5,63.6363636363636,33.3333333333333,18.75,21.4285714285714,34.4827586206897,38.8888888888889,40,30,100,25,60,50,28.2608695652174,37.5,26.2295081967213,48.1481481481481,50,30.2325581395349,58.3333333333333,55,35.7142857142857,20,69.2307692307692,20,65,44.9275362318841,42.8571428571429,66.6666666666667,40.7407407407407,50,62.5,41.6666666666667,0
2002,43.4131736526946,40.9181636726547,4.22297297297297,71.4285714285714,NaN,46.1538461538462,53.8461538461538,33.0357142857143,47.3684210526316,8.33333333333333,66.6666666666667,0,33.3333333333333,44,NaN,28.5714285714286,24.2424242424242,64,31.25,63.6363636363636,52.9411764705882,73.9130434782609,33.3333333333333,37.5,22.2222222222222,45.7142857142857,48,100,68.75,66.6666666666667,71.4285714285714,28.5714285714286,9.09090909090909,19.3548387096774,100,27.9411764705882,50,0,43.9024390243902,58.3333333333333,46.6666666666667,42.8571428571429,14.2857142857143,44.4444444444444,100,65.2173913043478,50.9433962264151,50,33.3333333333333,50,45.8333333333333,75,65.2173913043478,60
2003,42.2812192723697,40.5113077679449,2.97520661157025,83.3333333333333,NaN,28.5714285714286,50,25,45.4545454545455,42.8571428571429,20,0,31.5789473684211,66.6666666666667,NaN,54.5454545454545,24,51.7241379310345,38.4615384615385,62.5,38.8888888888889,72.7272727272727,33.3333333333333,30,12.1212121212121,36.6666666666667,18.75,50,70,100,71.4285714285714,80,50,20,40,28.3783783783784,60.6060606060606,60,48.936170212766,55.5555555555556,50,41.4634146341463,16.6666666666667,46.1538461538462,0,65.2173913043478,53.8461538461538,58.3333333333333,50,47.0588235294118,65.3846153846154,63.6363636363636,43.75,75
2004,42.5889328063241,40.2173913043478,3.96694214876033,63.6363636363636,NaN,56.25,77.7777777777778,35.2941176470588,64.7058823529412,22.2222222222222,100,50,37.5,44.4444444444444,NaN,71.4285714285714,32.0754716981132,42.3076923076923,45.4545454545455,47.0588235294118,68.75,68.75,40,26.3157894736842,19.047619047619,53.3333333333333,45,62.5,42.8571428571429,75,71.4285714285714,28.5714285714286,33.3333333333333,6.89655172413793,28.5714285714286,26.5625,56.25,0,30.7692307692308,72.2222222222222,47.6190476190476,44.4444444444444,0,64.7058823529412,100,55.5555555555556,49.1803278688525,40,0,44.1176470588235,46.4285714285714,75,30.7692307692308,100
2005,41.99604743083,40.2173913043478,2.97520661157025,75,NaN,64.2857142857143,57.1428571428571,34.2342342342342,32,27.2727272727273,0,33.3333333333333,42.8571428571429,54.5454545454545,NaN,50,31.25,56.25,50,55.5555555555556,46.1538461538462,62.5,25,21.0526315789474,26.0869565217391,46.875,66.6666666666667,90.9090909090909,64.2857142857143,75,30,45.4545454545455,60,12,20,19.4029850746269,62.5,62.5,38.0952380952381,56.25,40,42.5925925925926,0,42.8571428571429,33.3333333333333,62.5,34.375,50,100,54.5454545454545,40,30,45.8333333333333,NaN
2006,43.2567432567433,43.2567432567433,NaN,50,NaN,43.4782608695652,16.6666666666667,30.9278350515464,63.1578947368421,21.0526315789474,33.3333333333333,0,57.6271186440678,51.4285714285714,NaN,50,29.5454545454545,52,30.7692307692308,50,46.1538461538462,78.5714285714286,37.5,21.4285714285714,26.6666666666667,29.6296296296296,61.9047619047619,83.3333333333333,33.3333333333333,66.6666666666667,100,33.3333333333333,0,11.1111111111111,37.5,19.047619047619,62.8571428571429,66.6666666666667,45.2380952380952,28.5714285714286,39.1304347826087,43.3333333333333,50,47.6190476190476,NaN,60.7142857142857,50,42.8571428571429,42.8571428571429,57.1428571428571,36.3636363636364,62.5,47.8260869565217,100
2007,45.1485148514852,43.6633663366337,2.63620386643234,68.75,NaN,50,66.6666666666667,37.2881355932203,41.1764705882353,14.2857142857143,100,20,43.0769230769231,41.6666666666667,NaN,100,31.25,35,41.6666666666667,72.7272727272727,47.8260869565217,73.6842105263158,44.4444444444444,23.0769230769231,10.5263157894737,65.7894736842105,55.5555555555556,64.2857142857143,54.5454545454545,100,0,50,33.3333333333333,14.8148148148148,42.8571428571429,32.7868852459016,59.2592592592593,66.6666666666667,45.6521739130435,16.6666666666667,44.4444444444444,43.75,14.2857142857143,61.5384615384615,100,75,54.0983606557377,75,33.3333333333333,47.5,39.1304347826087,50,30,50
2008,43.620178041543,42.1364985163205,2.56410256410256,71.4285714285714,NaN,33.3333333333333,81.8181818181818,30.9278350515464,27.2727272727273,0,50,0,36.8421052631579,54.2857142857143,NaN,42.8571428571429,28.5714285714286,42.3076923076923,33.3333333333333,53.3333333333333,40,68.75,83.3333333333333,26.6666666666667,36,43.2432432432432,36.8421052631579,72.7272727272727,58.3333333333333,66.6666666666667,28.5714285714286,40,42.8571428571429,3.84615384615385,100,22.0338983050847,38.8888888888889,20,42.5,54.5454545454545,62.5,38.8888888888889,0,75,100,89.4736842105263,56.140350877193,50,66.6666666666667,62.8571428571429,37.5,76.9230769230769,52,100
2009,43.6327739387957,41.6584402764067,3.38409475465313,53.8461538461538,NaN,45.8333333333333,61.5384615384615,28.8461538461538,35.2941176470588,25,33.3333333333333,0,43.859649122807,46.6666666666667,NaN,62.5,27.906976744186,38.4615384615385,50,54.5454545454545,73.6842105263158,46.6666666666667,16.6666666666667,22.2222222222222,29.1666666666667,51.5151515151515,50,63.6363636363636,50,80,50,30,16.6666666666667,26.3157894736842,66.6666666666667,32.6086956521739,56.6666666666667,100,45.6521739130435,53.8461538461538,61.1111111111111,40,14.2857142857143,71.4285714285714,25,57.1428571428571,56.25,66.6666666666667,0,65.625,29.4117647058824,77.7777777777778,33.3333333333333,33.3333333333333
