x___x,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,DistrictOfColumbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,NewHampshire,NewJersey,NewMexico,NewYork,NorthCarolina,NorthDakota,Ohio,Oklahoma,Oregon,Pennsylvania,RhodeIsland,SouthCarolina,SouthDakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,WestVirginia,Wisconsin,Wyoming
Alabama,0,0,0,0,0,0,0,0,0,196.1,291.3,0,0,0,0,0,0,0,0,0,0,0,0,0,323.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.7,0,0,0,0,0,0,0,0
Alaska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,0,0,0,0,198.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,181.4,0,0,391,0,0,0,0,0,0,0,0,0,0,0,0,295.5,0,0,0,0,0,0
Arkansas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.5,0,0,0,0,0,282.8,325.3,0,0,0,0,0,0,0,0,0,0,198.2,0,0,0,0,0,125.1,65,0,0,0,0,0,0,0
California,0,0,198.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,608.2,0,0,0,0,0,0,0,0,216.3,0,0,0,0,0,0,0,0,0,0,0,0,0
Colorado,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,207.7,0,0,0,0,0,0,0,0,0,0,173.2,0,0,0,333,0,0,0,0,52.9,0,0,0,0,0,0,0,276.1,0,0,0,0,0,260.2
Connecticut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.5,0,0,0,0,0,0,0,0,0,0,82.3,0,0,0,0,0,0,40.3,0,0,0,0,0,0,0,0,0,0,0
Delaware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,22.6,0,0,0,0,0,0,0,0,0,0,0,0
District of Columbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0
Florida,196.1,0,0,0,0,0,0,0,0,0,261.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,291.3,0,0,0,0,0,0,0,0,261.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.6,0,0,0,0,0,0,249.6,0,72.6,0,0,0,0,0,0,0,0
Hawaii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569.8,0,153,0,0,0,0,0,0,0,0,305.8,0,0,0,0,0,0,153.6,0,0,210.3,0,0,170.7
Illinois,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295.5,200.5,0,122.4,0,0,0,0,0,0,0,331.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.4,0
Indiana,0,0,0,0,0,0,0,0,0,0,0,0,0,295.5,0,0,0,296,0,0,0,0,108.4,0,0,0,0,0,0,0,0,0,0,0,0,178.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iowa,0,0,0,0,0,0,0,0,0,0,0,0,0,200.5,0,0,0,0,0,0,0,0,0,262.1,0,235,0,148.9,0,0,0,0,0,0,0,0,0,0,0,0,0,85.6,0,0,0,0,0,0,0,86.7,0
Kansas,0,0,0,0,0,207.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307.5,0,356.5,0,0,0,0,0,0,0,0,409.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kentucky,0,0,0,0,0,0,0,0,0,0,0,0,0,122.4,296,0,0,0,0,0,0,0,0,0,0,59.8,0,0,0,0,0,0,0,0,0,155.5,0,0,0,0,0,0,338.5,0,0,0,119,0,79.1,0,0
Louisiana,0,0,1,166.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222.7,0,0,0,0,0,0,0
Maine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maryland,0,0,0,0,0,0,0,122,24.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195.7,0,0,0,0,0,0,0,253.7,0,174,0,0
Massachusetts,0,0,0,0,0,0,86.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.7,0,0,49.4,0,0,0,0,0,0,62.6,0,0,0,0,0,40.9,0,0,0,0,0
Michigan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.7,0,0,0,0,0,0,0,0,0,0,0,0,0,205.1,0
Minnesota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.1,0,0,0,0,0,0,180.8,0,0,0,0,0,0,0,291.1,0
Mississippi,323.9,0,0,282.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.2,0,0,0,0,0,0,0,0
Missouri,0,0,0,325.3,0,0,0,0,0,0,0,0,0,331.6,0,235,307.5,59.8,0,0,0,0,0,0,0,0,0,53.6,0,0,0,0,0,0,0,0,34.4,0,0,0,0,0,60.9,0,0,0,0,0,0,0,0
Montana,0,0,0,0,0,0,0,0,0,0,0,0,569.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210.8,0,0,0,0,0,0,65.3,0,0,0,0,0,0,0,0,377.7
Nebraska,0,0,0,0,0,173.2,0,0,0,0,0,0,0,0,0,148.9,356.5,0,0,0,0,0,0,0,0,53.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399.4,0,0,0,0,0,0,0,0,138
Nevada,0,0,181.4,0,608.2,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.5,0,0,0,0,0,0,344.6,0,0,0,0,0,0
New Hampshire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.3,0,86.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0
New Jersey,0,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.4,0,0,0,0,0,150.9,0,0,0,0,0,0,0,0,0,0,0,0
New Mexico,0,0,391,0,0,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.5,0,0,0,0,0,0,536.2,0.1,0,0,0,0,0,0
New York,0,0,0,0,0,0,82.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.4,0,0,0,0,0,0,0,0,103.4,0,0,0,0,0,0,0,306.1,0,0,0,0,0,0,80.3,0,0,0,0,0
North Carolina,0,0,0,0,0,0,0,0,0,0,68.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312.2,0,218.9,0,0,0,327.7,0,0,0,0
North Dakota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.1,0,0,210.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359,0,0,0,0,0,0,0,0,0
Ohio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.8,0,0,155.5,0,0,0,0,69.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.4,0,0,0,0,0,0,0,0,0,243.5,0,0
Oklahoma,0,0,0,198.2,0,52.9,0,0,0,0,0,0,0,0,0,0,409.1,0,0,0,0,0,0,0,0,34.4,0,0,0,0,0,34.5,0,0,0,0,0,0,0,0,0,0,0,715.4,0,0,0,0,0,0,0
Oregon,0,0,0,0,216.3,0,0,0,0,0,0,0,305.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385.8,0,0,0
Pennsylvania,0,0,0,0,0,0,0,22.6,0,0,0,0,0,0,0,0,0,0,0,0,195.7,0,0,0,0,0,0,0,0,0,150.9,0,306.1,0,0,92.4,0,0,0,0,0,0,0,0,0,0,0,0,118.6,0,0
Rhode Island,0,0,0,0,0,0,40.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Carolina,0,0,0,0,0,0,0,0,0,0,249.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.6,0,0,0,0,0,0,0,180.8,0,0,65.3,399.4,0,0,0,0,0,0,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.7
Tennessee,146.7,0,0,125.1,0,0,0,0,0,0,72.6,0,0,0,0,0,0,338.5,0,0,0,0,0,0,119.2,60.9,0,0,0,0,0,0,0,218.9,0,0,0,0,0,0,0,0,0,0,0,0,110.7,0,0,0,0
Texas,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222.7,0,0,0,0,0,0,0,0,0,0,0,0,536.2,0,0,0,0,715.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Utah,0,0,295.5,0,0,276.1,0,0,0,0,0,0,153.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344.6,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.1
Vermont,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.9,0,0,0,0,0,0,0,180,0,0,80.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
