Year,USA,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LO,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1999,39.8539185365533,49.6327387198321,42.175572519084,43.5396759451599,53.380423814329,33.1694963261634,37.6912378303199,37.2894333843798,37.6005361930295,36.8122009569378,38.0178537750676,50.0503412014767,10.9195402298851,28.8288288288288,NaN,48.2640144665461,25.0499001996008,45.5714285714286,39.6371882086168,58.4324702589223,NaN,41.2469179288482,24.2210464432687,47.754914709707,33.8065661047028,51.6215015548645,40.644127076654,28.2758620689655,47.5279106858054,38.7502969826562,20.9424083769633,32.9693554068334,47.5300400534045,28.584375566431,49.3520326646547,25.4545454545455,36.3643502159403,40.6193734245589,27.3391812865497,38.9152501651751,29.7567954220315,43.8171218165081,18.9473684210526,55.7118395303327,43.9619008321298,32.409381663113,27.1186440677966,49.2059613975079,27.8190045248869,29.6385542168675,52.2892112420671,17.8082191780822
2000,40.8902394860733,56.1923747819586,39.9092970521542,42.0773209910155,47.9326186830015,34.8148148148148,36.468330134357,38.3766039988063,44.5614035087719,38.4463833380242,37.2451580020387,55.1232410992539,12.0213713268032,28.1818181818182,NaN,47.6721816083109,27.6830491474423,41.3445378151261,44.1860465116279,57.6985677083333,18.7755102040816,46.0190161223646,24.5358851674641,48.5195206803247,29.1712403951701,40.5331510594668,45.4122795022563,27.6923076923077,43.1095406360424,40.4358353510896,20,33.4833616173541,41.6995181778362,30.475584539526,50.9620296271071,46.2962962962963,37.4650435926962,39.5793499043977,28.4796573875803,41.7046818727491,23.8611713665944,46.4788732394366,22.65625,54.9368173056329,43.7664457249442,29.5454545454545,35,51.380846325167,26.8919647672119,34.7639484978541,56.0986547085202,41.4285714285714
2001,41.988113632929,57.246963562753,38.7628865979381,46.1977407709328,53.2838378069674,36.4757738232295,38.3390571339369,39.2594537815126,36.1924686192469,NaN,39.0270665691295,53.9859267836466,10.4203152364273,27.9835390946502,NaN,53.1970139565076,29.0227048371175,45.7104557640751,47.5711159737418,59.1877764374749,18.9393939393939,38.2001328315254,25.7589365906233,51.9622931896883,27.536231884058,54.0458015267176,45.4359951027071,24.0384615384615,41.5525114155251,40.1865369018654,21.9298245614035,32.4750356633381,45.8134490238612,29.7379842469056,52.1935533266978,32.1428571428571,36.9238978189822,41.1143481427531,26.0939381774388,41.1018260600433,27.9918864097363,49.0331491712707,33.3333333333333,55.7476910984476,45.1482941882393,29.8229263746505,32.9268292682927,50.4557291666667,26.6637573641719,35.0515463917526,54.2119565217391,21.9512195121951
2002,42.0647279408443,57.6116681859617,39.3305439330544,47.5435005117707,49.9045801526718,36.188968556973,36.2056737588652,34.208,41.4285714285714,50,39.0460617653411,57.0967741935484,11.4335971855761,33.8983050847458,NaN,53.7980927326537,23.2578397212544,41.8852459016393,44.3049744304974,58.8200059898173,21.5613382899628,43.4041363890442,26.1057532424343,46.7138612130746,30.6620209059233,58.8259611409673,43.3783395575984,29.559748427673,47.4664679582712,38.8734204326408,22.8448275862069,32.9330922242315,44.9816079873883,30.1581395348837,51.768659356208,17.8571428571429,37.287198082478,41.3351314902225,27.2618573136708,39.8749845277881,27.1834061135371,50.0097981579463,22.8571428571429,56.0946997973766,45.6850082724022,32.5066430469442,27.4509803921569,48.5255519530647,24.5535714285714,37.5776397515528,55.1007286755251,47.7777777777778
2003,41.8568092533356,53.3285354444045,30.5429864253394,48.2777036048064,53.8100208768267,34.8399899206249,31.8279569892473,36.2799868550772,43.9130434782609,46.9424004059883,38.994668697639,56.2170790103751,13.0993150684932,32.2314049586777,NaN,49.5597697257027,22.1014492753623,29.6703296703297,45.5479452054795,60.5959764029648,18.6851211072664,50.4630146156421,29.0824685963954,47.0582852960015,32.1232123212321,56.9767441860465,44.241935483871,23.5294117647059,48.4265734265734,40.5977100718028,30.8970099667774,32.6522919179735,43.5802469135802,31.8307488880875,53.2726289217454,21.7391304347826,34.677828513445,43.9205955334988,26.9792467332821,41.2434741338396,33.2530120481928,50.0099581756622,24,57.2589266623904,45.0809026462471,34.8111658456486,36.8421052631579,49.0634168359287,26.3203463203463,37.5,56.5472007495901,28.9156626506024
2004,40.6331796862113,55.1473263004729,33.4085778781038,50.5110062893082,47.0285446888161,33.5156403056227,38.1952326901249,34.5460199004975,42.4015009380863,47.65625,38.367129135539,55.1171393341554,12.3076923076923,30,NaN,48.5742871435718,24.7373447946514,34.066985645933,48.7162162162162,58.5337915234822,21.1072664359862,49.0585533869116,26.6217228464419,47.6846397825102,30.3763440860215,52.3010546500479,44.139108834032,18.1034482758621,45.6965394853594,41.1620795107034,33.8323353293413,32.5497702909648,39.2146863844977,29.3612847860733,46.8285714285714,25,33.5652386183327,43.7864077669903,25.3521126760563,42.6471426129565,29.0013679890561,50.3054600992745,17.7570093457944,54.5557441992077,44.2662029895953,28.09642560266,14.4927536231884,48.758865248227,25.8872651356994,35.7142857142857,54.5274616526472,39.3939393939394
2005,42.1374700541244,53.3804684047724,33.7711069418386,54.7565543071161,47.7599671187834,34.6055979643766,42.3882140087878,33.1408405518126,42.1133231240429,48.1621621621622,39.7193775768054,58.4689796298019,11.2568306010929,32.7102803738318,NaN,51.9759184933622,20.0873362445415,31.2121212121212,46.6608594657375,54.5610523305691,18.3229813664596,54.5949560565533,26.0547858942065,48.6418047882136,27.258064516129,52.8497409326425,47.7804229099566,22.1556886227545,43.9379243452958,42.533162173727,22.5903614457831,33.2727960650776,44.8355452971725,31.8913990477155,53.4582008763639,2.38095238095238,35.6497405701627,44.9751861042184,23.6230110159119,42.745492100709,26.4665757162347,52.3345952767262,23.0769230769231,56.6464646464646,44.8100416538537,29.3719806763285,34,53.5901430392296,22.7272727272727,29.6703296703297,49.1585473870682,16.8831168831169
2006,42.2401869284381,59.2896174863388,30.7300509337861,49.2890468784715,47.9799923047326,34.3969530258146,39.957604663487,33.2764505119454,42.0172910662824,40.3760773047793,42.0966180740915,60.3682946357086,14.272030651341,35.3741496598639,37.4774774774775,45.8536585365854,24.4817374136229,42.5603593486805,39.2944785276074,51.7734665882814,20.3125,48.4421218694538,26.1558980438648,49.5189586870402,30.8681073025335,54.9144448865897,47.4583055370247,28.9473684210526,45.5128205128205,49.4663441013235,19.7368421052632,32.2926025756214,44.1509433962264,31.3624204409187,52.8178243774574,14.4927536231884,38.8058816554014,40.6019852705732,24.4426751592357,43.53001017294,22.4312590448625,54.6382679105791,9.87654320987654,58.809201623816,45.5774981814263,29.6084828711256,40,50.2894063804011,23.5316054447138,28.4313725490196,51.5276779295471,25.3521126760563
2007,42.8170965332872,54.2611683848797,29.9307958477509,49.2529405531419,47.9011509817197,33.2682829549016,39.4752358490566,34.1180264430829,40.9845788849348,22.463768115942,47.0438368397552,62.5210628645496,9.65005302226935,40.174672489083,39.3364928909953,48.5849734233587,25.4502740798747,46.508226691042,40.4796724188359,55.083179297597,20.9169054441261,46.5659487838851,25.2557041699449,47.5648611743286,32.6662362814719,57.9555966697502,48.6451130629789,24.468085106383,44.5173383317713,43.9105339105339,25.2873563218391,32.189046782692,45.6740442655936,29.3741879601559,55.1185296990145,31.3432835820896,37.0542757967813,44.625890736342,27.0241477272727,42.4657534246575,26.7889908256881,53.1315240083507,25,58.1374157098597,46.0990528298965,32.762312633833,35,53.9351236373305,22.5751943224062,34.6613545816733,51.3528336380256,26.5060240963855
2008,43.4540486412204,61.4980652294085,26.01246105919,51.6951788491446,48.0827067669173,31.8198219002122,37.8335451080051,31.7673378076063,44.9945593035909,40.8803611738149,46.6955609540636,64.2179308514168,10.6758080313418,29.7674418604651,44.8453608247423,52.5048705816866,23.9059967585089,39.8911353032659,41.3429522752497,56.8090404137138,15.9159159159159,46.2452316076294,24.9036831561103,50.5257243759531,31.9169483341381,59.8726114649682,51.5176262420035,17.2619047619048,48.1712062256809,41.6035841186467,21.5297450424929,33.4880312652662,46.7749876907927,29.72490550189,56.6630384077126,12.8571428571429,41.758496694119,48.474855729596,23.3384262796027,41.7525220004293,24.4596131968146,56.7,21.551724137931,60.1537596099756,47.6218251232833,31.8021201413428,24.7191011235955,56.3734776725304,24.2151733158927,31.8618042226488,51.7369242779079,27.0588235294118
