Year,USA,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LO,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1998,114522288,3714524,105866,3658796,2915115,14022642,1644684,478879,234042,0,7120355,8514597,118435,1121593,0,1916951,645563,0,578264,2862779,255802,1391516,212434,3262650,1335599,1937148,2300937,0,432906,1634092,68488,193600,1131364,1619178,8113607,101188,1838134,2813295,3254350,3032126,55213,3656419,160958,4694186,13244498,853110,124893,2796447,2719849,1106580,0,528636
1999,111066656,3572165,351635,3225957,2229814,11088663,1188516,522672,158455,2944,8052933,3545049,196809,877427,0,1287256,549060,0,487080,2872169,274459,1288726,231693,2647097,910722,13546577,1868531,0,461252,1015963,60098,2000,881594,1037034,6695099,99060,1745267,3606312,2102398,2893150,42093,3127250,271927,5057027,12575852,662034,105076,2601286,2384629,1102014,1150268,411564
2000,92579611,3359949,411192,3241032,2371881,9835289,1208210,275986,128555,2705,5947309,3798007,742629,708249,0,1153831,570491,658096,442151,2745957,255720,1245753,263393,2535075,840212,1154865,2049553,128175,540458,1036541,71351,100750,968519,1261576,6547681,85027,1836828,2323665,1839578,2597635,45964,3144985,98470,4823967,11789057,686754,162001,2098006,2228021,1134553,911090,172869
2001,103748439,3838962,381155,3590964,2163100,10408225,945188,264312,213903,10187,8450772,3313222,131931,827626,0,1132335,914067,815921,602273,2797643,297578,1385434,198152,2624527,2919485,1084188,2377186,68929,355035,1093512,126067,0,966064,1372189,7112228,380377,1925005,2594882,1593330,2818734,75482,3117647,78739,6382340,13740515,681334,124902,2615762,2239371,1130204,1115324,352131
2002,103513138,4300596,437302,3952809,2173121,9064996,1164393,279796,116061,1350,6298176,3901559,167950,852319,0,1237636,2616626,721845,572232,2362066,346036,1519828,423525,2559827,2988553,1289387,2710156,142734,376670,1308041,122939,8000,784192,1301340,6768279,96934,1958174,2526573,1689014,2836122,50103,3142382,123064,5587174,14628680,789217,115575,2417100,2387534,1052563,1006941,235648
2003,115650395,3739998,492126,3502806,1547185,11402904,1254193,185470,231837,0,7174282,11005940,74132,922923,0,1354282,582429,820232,447810,2635692,267919,1277152,222383,2556050,925305,1339666,2785520,107560,326318,1544148,95972,0,820291,1627604,6289690,163294,2150275,2585658,1529567,3114353,63701,3780354,169868,5570278,20521517,780832,137088,2545735,2389556,1259386,1037972,291142
2004,109309144,3773076,448328,3379248,1830763,12052849,1275881,399579,210749,0,7185740,3886075,104720,2757233,0,1397869,556930,821342,687020,2601387,312988,1538234,234160,2464037,1198017,1431220,2557643,421200,359308,1505953,143007,7000,734206,1037449,6708075,118496,2739874,2634249,1710597,3085030,52814,5602788,187567,5179285,15504476,961017,128784,2512142,2361660,1212672,1006405,290002
2005,104602497,2808487,599633,3849785,1999618,11921896,1637770,383818,181346,500,6947543,3933860,117964,911375,0,1239009,536094,865632,2590926,2017948,276632,3938700,295827,2807012,4184754,1356532,2490281,429493,284882,1541912,151274,0,932989,978641,7243418,114542,2541450,2819790,1671328,3386317,77888,4053752,90565,1991747,14296729,242214,0,0,2636639,0,906820,317165
2006,116908980,795559,576803,4862946,2336588,13034137,1523049,332507,225872,0,8972237,4719400,125765,779799,86960,1303486,505848,1119514,2854700,2343518,353998,1616288,351652,3053023,1141142,1320855,2839894,413005,386249,1893179,293709,0,1014476,1226308,7540341,110181,2804719,2740165,1594582,3781748,56226,3986196,120489,5856768,16562963,785206,192323,2772371,2785135,1189046,1320821,307234
2007,129627551,2236583,494536,4337147,2278759,19571360,1492043,869292,219970,1600,9870306,6639587,131962,1157268,55746,1912166,575505,1183311,2972333,2927802,263287,2097695,286087,2947062,1005558,1159378,2675804,588371,390769,2025406,114677,0,950721,1009175,7662547,130474,2348632,3051902,1844622,3225383,107366,4012413,114620,6154310,17253015,736791,170979,3120725,2547085,1104763,1358015,242643
2008,156690018,3981807,476870,4067508,2538421,35258574,1491219,306229,297068,0,11323492,6769245,117600,634245,69383,2585651,547954,1131647,4440727,2322826,389353,1687229,320848,3154313,902685,2112998,2634448,564180,318133,2493050,170111,0,2657871,1114406,8788765,123190,2719443,2955639,2070962,3925530,75189,4164787,98494,7004723,17745005,848504,179857,3582315,2580189,1236554,1348317,362464
2009,147294432,4310373,559683,4406808,3043432,14824786,1872592,547233,327206,130,11635685,7029495,139805,983243,60593,2588660,560916,1077091,3776592,3317566,304653,1556441,327113,3097357,1045406,1518276,3165580,571920,364334,1834307,227913,0,3557452,1204988,9176345,169161,3491699,3613881,2570582,3893909,63822,5341529,268511,7849779,20503103,872571,208058,3215364,2772214,1660218,1420280,365777
2010,149403238,3290740,529288,4922498,2748908,16345274,1749635,372133,398327,2800,11011162,8616782,164670,977959,84067,2371154,701766,1383854,3709660,3162029,434144,1597861,328248,3137703,1013547,1575989,3767783,615075,279529,2160164,262372,0,1516455,1194780,7819373,280771,4016389,3613542,2310015,3901757,63616,4744906,214372,8599451,22215290,938912,185693,3781742,2900511,1468905,1467757,453880
2011,148633017,4804230,541088,4339736,2834571,16753208,1847800,417157,443390,700,10767414,7796210,222336,883956,61404,2988682,694515,1255477,3719763,3380298,445031,1565912,347478,3183651,940036,1618986,4099403,559309,435434,1587903,191145,0,1735476,1287026,8496300,198394,4387291,4037380,2381701,3849671,111112,5092452,126068,7308020,19207444,1154066,259927,3566251,3296424,1340023,1610436,461332
2012,158156491,4872813,459953,4723887,3209303,14921314,2074503,589137,438187,0,11893094,7887498,246574,984142,172238,2979984,834674,1691292,3978514,3388873,421907,1607348,447046,3169355,1070522,1738183,4339382,594583,321037,1918619,243894,0,1798070,1476467,9366883,308748,4654478,4195996,2926121,4083517,129368,5683088,212363,7459706,21915136,1063660,263824,3745382,4192590,1649287,1531794,278607
2013,171922444,5808400,658838,4983260,4818447,20236244,3310320,316816,426914,0,11289020,9155091,159367,1016814,73078,2900284,732753,1690993,4033481,4264208,388151,1811747,347524,3218891,1140592,1717419,4298596,801532,366841,2214970,240507,0,1734080,1277507,9694693,347696,4759458,4499270,2454836,4565106,86161,5720603,259030,7554537,23306633,1119346,197172,3687968,4547233,1507617,1769981,373200
2014,158875315,4794043,592389,4505221,2943520,13852962,2452096,487984,444429,0,11815698,8877738,104237,1062210,53802,3186389,883369,1423013,3622793,4543491,384639,1801310,269587,2563860,1002731,1978885,4177075,785009,401676,3131789,284039,0,2033964,1138921,8934542,395012,4571089,4168659,2167618,4102041,103656,5565337,623613,7606589,22624661,1196412,243637,3349122,4229509,1360246,1668763,320503
2015,173009657,4421905,1125249,4164919,3271983,17817322,2469772,337408,411012,150,12742226,10271204,291400,990879,88661,3218689,1075366,1572817,3543679,4877987,448284,1392172,367409,2614624,1174465,2066517,5046377,1035986,383076,3091213,259763,0,1917182,612225,8491684,563195,4443809,3891195,1991823,4560617,180790,5648317,298595,8321200,27782848,1083972,177924,3783614,4921483,1599746,1657560,475200
2016,173733587,5528292,1263361,3351795,3554799,14247746,3072943,285100,422868,4121,13111138,10456536,165284,1150857,66486,3273519,1003162,1727186,3995201,5212866,351103,1497205,214155,2579280,1037246,2282880,5785269,1277223,378760,2867914,271906,0,2078982,600467,9706040,479511,4699391,4457184,1820064,4338896,99136,6699427,319204,8916585,25549366,1143188,145099,4496721,3796378,1704163,1878640,368944
