Year,USA,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LO,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
2000,40.5543033157595,28.3457089380848,70.704802671495,53.0947454416998,75.6741984956253,63.1723388538247,58.8409171325291,33.413672699007,58.8779116271795,NaN,40.9596127500115,41.7147636351791,25.4631365475118,49.4832349568657,43.1633465257527,27.2166196695725,19.733246115572,NaN,3.13656066491135,35.4883902425934,20.4373754964481,57.8041865294027,15.4847334676496,28.4954960838788,44.9764598195428,28.7885665856725,54.5896989362945,5.31106815538858,61.5583900292913,93.3254934635003,11.6140084298345,59.8769651725537,30.4194368121309,15.1933134685277,68.637279632509,16.5103119358652,26.9370213145671,72.806434757184,50.5873969445795,27.3685497591087,33.9913241191772,15.2327542484599,16.2731992315875,32.7856263606254,49.8842201954795,39.2069153870213,2.13248296474185,47.3555679804307,47.5931695934295,13.0601691955987,NaN,29.5367185919482
2001,42.4755040421859,29.9935043918101,60.9107578497556,54.7835896506233,59.5191432810058,67.680878278307,51.4496393441289,40.5787053557774,115.998637675805,NaN,41.0650728258529,41.0049470946652,23.3288850750603,43.0315418171129,44.304955500865,27.4325365223181,14.5293463806409,NaN,16.3465688920615,39.6393378555677,29.3227304828839,57.8451858906866,17.8190874939079,30.2368503230869,16.2157953084975,24.7459335701372,72.6980458921261,7.6078243717205,59.6568510020723,89.3538359482634,9.87640947912294,61.0526417425095,27.2971954861358,15.165459141874,90.6442072358973,16.7432893835027,27.0298656304808,59.8482881947449,50.9236471135433,28.4007522581159,38.0270578597766,18.2780052619991,11.3460655538727,45.5937437454235,46.9520519641483,36.5632314014665,2.94010515776114,40.9120852771783,48.949817582574,9.15913073743214,37.2121583144298,29.5154015812977
2002,43.2097059036132,30.4458237325196,54.6442132400905,55.1122954715817,42.4253869376373,71.2580634180992,47.5235424146503,29.1723973031868,99.9790366536049,6.10651862139236,35.7712723727738,40.4900839843089,22.9910463991584,45.4351478544762,40.2856368212317,26.9981954094296,19.8688993447694,8.99196067122775,16.1863137626456,34.9545624042335,23.4575141208062,30.457380896844,14.788367398522,52.2479185200051,19.0677902782164,29.4191621940328,72.2313022868547,7.67824216517654,62.4315798487756,55.0190887716436,8.98282153576305,65.2196052144349,32.8247208416496,15.6966840493683,73.1305910102338,12.6925825174562,25.6576830296999,69.9324750363993,40.1317916653384,29.1703102522409,44.746926580331,31.7445247389415,13.8154259098445,45.0489465171867,50.2435993928168,55.7893853919559,1.78733333116687,42.7343800283057,43.9003104414501,13.6256836382126,81.7790177776162,25.3991364293614
2003,43.0129568363096,29.6214647703304,58.9129784366161,56.6750218315886,42.7184808075114,76.9264394149755,42.6830291569472,25.6863861579365,45.476605831519,4.39752190845415,39.7551529529522,46.2727100140291,24.9369781817426,42.1745954906189,38.4198605830548,23.9000567727209,19.680496152446,8.37310558486143,12.1928411991732,34.0850626912999,19.4410618187496,73.0131658403182,9.26421141708959,45.652132344974,22.3208455326252,23.881641885541,74.035761707485,6.41562367473875,57.4010880899644,NaN,5.78197274659332,65.3730636005619,31.7963499707601,17.9391475953277,77.9815876543084,13.9320024357523,21.6182407579397,66.0505373632055,40.4806256793754,33.4312269478478,52.6442536556954,4.1924710448433,20.557030045998,46.1882153530243,51.4912420178702,54.9544369670066,1.45664537806422,37.3558923829951,41.1853315345468,9.82180053468116,46.4301103645913,23.2395079580418
2004,45.6456904683467,26.8168764894126,54.7562059561404,58.9306779911698,35.5676975480109,79.8688366658256,51.0381063398071,36.3262543856086,40.0817040862876,5.81237648699965,44.6560895414026,42.1700733426295,16.1750168228027,44.9776620525046,38.2612140822555,23.2151191230814,15.133894336978,25.3074470820184,13.844332301601,36.3557441416727,23.9782962164532,74.5456725200494,12.0549925993574,47.3679839965232,17.2572627426115,25.4758550506921,57.0484995757464,NaN,62.5939623978918,67.7259014705343,6.74355351164736,69.9977682710215,39.6048341009177,21.3597563516848,65.4846306952104,21.0949193817327,25.5582941729098,64.7049429073199,61.8020133560706,36.9277468305228,54.9052233479344,7.86051317514625,10.3842699079434,49.1641668678518,58.1360481767836,48.7595666186427,2.58097819073429,42.0302117228441,44.9451295551047,16.7911043481803,48.802816671521,27.4991848455921
2005,151410,25.1214220300429,59.5250590002789,56.8925533949972,53.0725825097075,92.0175629396307,50.9295561550711,42.4869887161401,46.2639768088505,5.28973650059245,47.8196493023947,50.8742962351676,15.4711466981866,26.8862187824044,35.7020985807742,29.3854569223536,17.5074398185973,8.70579124532519,44.8987769267146,34.5669344329493,25.2504763847384,79.8229161507115,11.8845156161911,53.0984703521602,44.2417549190386,25.1209332048151,54.3840560938121,12.4454580460418,65.4556891098878,77.9970585611126,11.3208244640706,72.6654980701514,36.4337562892219,23.54618632795,91.1042987421496,29.4077131788345,26.0831940484955,64.9834286620881,56.4872929883245,38.8675010983945,28.8412197214013,64.9391707551257,11.3476201590472,51.7771738776647,60.0927477650375,50.9008556307698,1.93169836530026,47.5775378591164,56.5259324901056,22.9058957688361,44.6795137397618,39.2876105936514
2006,156234,26.7445470180154,59.2327580845311,61.4183678902185,50.642134468511,93.1312619717687,50.5886866494804,35.3379995792418,53.9994506952429,5.08164806608245,47.3991563819873,47.8384606588186,17.2554516919887,38.1297623903003,32.3949270619834,20.9074562400151,16.193685870657,24.6115447689428,15.6663322461705,41.4859162867665,30.2201766520426,77.9227656557676,20.2961458851397,52.8991346323331,47.8739937891627,40.4822342888655,70.1729883971531,NaN,63.3499427142771,96.9215803331248,9.70659337551752,74.5813831244497,38.6313493909956,22.8269260997504,85.4970187063978,22.0195804884959,25.537371356145,70.9776327248344,47.1821085008702,39.9494549073525,33.1108385319858,60.9934217516127,6.64084400018901,55.0686296697886,61.3281574411869,40.9026781553169,1.4448732685602,48.3598252478425,56.3983566777742,13.5673927410072,91.6155624541138,27.7423292459635
2007,151008,31.3941842648154,59.0915772453329,59.7955698422146,33.5948607235006,89.6902650021403,48.3984988763222,38.4716792306798,48.2937175723746,5.04871135994875,44.9862319155402,59.123070532283,NaN,37.9375525295577,29.4269016386909,30.2056602617186,16.2042563179929,27.5524151470031,12.8973996587005,46.3709847903627,31.3479623824451,75.5473512613984,21.549985003636,50.8534704143988,45.6098984425996,25.8848839790326,49.1030998645971,9.53658420285559,58.1460548154129,91.8467462646171,6.78074572965395,62.8148448613919,36.5816277819373,22.2450631352629,83.833833971062,17.4626467858007,25.6598253218913,69.3384152154898,50.7465982451724,36.3659894187626,24.3068527354667,61.1596022600701,10.6111116023663,55.1190167570555,53.2100077446346,48.2341229666026,4.33052490773576,50.2128757579667,53.3615039153694,15.7574594395361,87.2250268456675,25.0525355409478
2008,146347,32.7666914077088,50.1851030249253,58.611271133734,46.2680471474879,86.8749514572549,42.0064093518456,39.4575892964167,53.966968142518,5.68734101296714,43.6760770117402,51.920899692925,14.9375512774609,40.7346576985244,32.2976992772752,29.8997354939589,17.2040358878178,26.0320589613671,14.242829283257,39.4085471457435,26.756677331758,76.1306358086637,21.7190781773968,46.4165227942123,43.2436099895217,34.025305600165,68.5019841604776,12.3922717287219,61.6796687556851,77.2903532142763,6.68740776316849,58.0753958459848,30.785880471208,17.5875667198059,79.8543501339338,25.2444990563728,26.0434057341171,58.0816009698619,47.1509371281922,36.2820852843081,37.0615059862389,37.1384739575835,16.1426762304724,51.8294698395863,47.994492912698,45.0614694770504,2.88391751355041,51.5095686523616,43.872274535901,14.562763882172,88.583647284983,24.9064634103908
2009,137849,28.9831435382302,52.2252985069288,50.3377341934312,39.9745516066974,80.7197184920447,36.9253418258938,41.7484720536514,45.9780426810806,6.58530160681359,37.034964051209,46.5135810301921,17.5983521407987,35.3182080480482,32.6019565237437,29.6160976572629,16.0244257089819,23.4051987076659,24.461012250427,35.7775141774244,30.9117848359269,62.6484628964042,23.229363265355,43.1243827380872,35.1813781822058,36.6705939689885,64.0319351098323,6.30092826901305,49.8156599912947,72.6347607615848,8.20605089879052,55.3702646602712,29.5070409396691,20.9042637550418,68.2994330109975,19.8505792759952,30.5146303687708,52.8839791132492,38.22927059812,32.0205689524585,43.3732012459593,53.0733754666797,17.3467630320655,51.4429150942932,45.8233590751883,48.0278297038908,3.84112468130669,46.833579424111,35.6659376497017,16.5063387046583,69.9208927296383,20.1839417988
2010,129737,22.6520587357017,58.8309450771106,42.1558840624226,27.2419509617504,76.0299534543628,33.4829234118742,38.6967277376468,43.4640998762774,NaN,31.933290094095,43.3283727426232,16.4960486464809,31.9593365190807,30.6218533650901,18.1189788291442,15.8649772432635,22.6017164709134,23.274100135206,38.5078155462433,31.1080881782486,63.1408559343335,24.3211290608252,41.7109170226099,31.8217799559692,32.2836055838855,54.936862634828,8.37793997559294,47.5528848203539,59.0955093703571,8.80948873068937,48.8667127453251,34.2931541564465,19.0671302159735,70.2608424637439,17.4888656692085,27.9738799528846,51.1177826052728,38.8535113176813,33.7734715006341,38.711183262347,51.9021176970042,19.8489032868314,48.9197145505546,42.2470971066404,45.399973768904,1.43797762826361,47.0730519676773,37.6844737298731,16.71844891624,58.3079619891134,17.5380478204104
